Sex,Race/Ethnicity,Age,Rate Type,Year,"Age-adjusted (AA) Rate per 100,000",AA Rate Lower Confidence Interval,AA Rate Upper Confidence Interval,Trend Year Range,Annual Percent Change (APC) (%),APC Lower Confidence Interval (%),APC Upper Confidence Interval (%),Trend Direction,Type
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2000,22.3351,22.0422,22.6308,2000-2005,0.4225,-0.425,1.2771,Stable,Urinary Bladder
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2001,22.081,21.7916,22.3732,2005-2014,-1.0936,-1.4892,-0.6964,Trend is Falling,Urinary Bladder
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2002,21.9322,21.6459,22.2212,2014-2016,-3.4081,-6.8478,0.1586,Stable,Urinary Bladder
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2003,22.1416,21.8559,22.4301,,,,,,Urinary Bladder
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2004,22.869,22.5802,23.1606,,,,,,Urinary Bladder
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2005,22.5823,22.2942,22.8731,,,,,,Urinary Bladder
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2006,22.009,21.7292,22.2916,,,,,,Urinary Bladder
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2007,22.1459,21.8671,22.4273,,,,,,Urinary Bladder
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2008,21.9065,21.6316,22.1841,,,,,,Urinary Bladder
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2009,21.5656,21.2952,21.8386,,,,,,Urinary Bladder
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2010,21.2369,20.9709,21.5055,,,,,,Urinary Bladder
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2011,21.0604,20.7977,21.3255,,,,,,Urinary Bladder
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2012,21.1857,20.9253,21.4487,,,,,,Urinary Bladder
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2013,20.547,20.2934,20.803,,,,,,Urinary Bladder
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2014,20.2413,19.9929,20.492,,,,,,Urinary Bladder
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2015,19.8852,19.6416,20.1311,,,,,,Urinary Bladder
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2016,18.969,18.7332,19.2071,,,,,,Urinary Bladder
Both Sexes,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2000,22.3351,22.0422,22.6308,2000-2005,0.5173,-0.4131,1.4565,Stable,Urinary Bladder
Both Sexes,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2001,22.081,21.7916,22.3732,2005-2016,-1.1464,-1.4144,-0.8776,Trend is Falling,Urinary Bladder
Both Sexes,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2002,21.9322,21.6459,22.2212,,,,,,Urinary Bladder
Both Sexes,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2003,22.1416,21.8559,22.4301,,,,,,Urinary Bladder
