Sex,Race/Ethnicity,Age,Rate Type,Year,"Age-adjusted (AA) Rate per 100,000",AA Rate Lower Confidence Interval,AA Rate Upper Confidence Interval,Trend Year Range,Annual Percent Change (APC) (%),APC Lower Confidence Interval (%),APC Upper Confidence Interval (%),Trend Direction,Type
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2000,6.8763,6.7167,7.0387,2000-2016,-0.5234,-0.7474,-0.2989,Trend is Falling,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2001,6.648,6.492,6.8067,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2002,6.6921,6.5365,6.8504,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2003,6.7969,6.6411,6.9554,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2004,6.7332,6.5789,6.8903,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2005,6.7404,6.5848,6.8987,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2006,6.5519,6.4009,6.7055,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2007,6.7201,6.5679,6.875,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2008,6.6976,6.5465,6.8513,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2009,6.6776,6.5277,6.8301,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2010,6.4902,6.3433,6.6397,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2011,6.391,6.2461,6.5384,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2012,6.4893,6.3443,6.6367,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2013,6.5509,6.4058,6.6984,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2014,6.4095,6.2672,6.5542,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2015,6.4552,6.3129,6.5999,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2016,5.9434,5.8078,6.0815,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2000,6.8763,6.7167,7.0387,2000-2016,-0.3878,-0.5791,-0.1961,Trend is Falling,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2001,6.648,6.492,6.8067,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2002,6.6921,6.5365,6.8504,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2003,6.7969,6.6411,6.9554,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2004,6.7332,6.5789,6.8903,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2005,6.7404,6.5848,6.8987,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2006,6.5519,6.4009,6.7055,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2007,6.7201,6.5679,6.875,,,,,,Brain and Other Nervous System
