Sex,Race/Ethnicity,Age,Rate Type,Year,"Age-adjusted (AA) Rate per 100,000",AA Rate Lower Confidence Interval,AA Rate Upper Confidence Interval,Trend Year Range,Annual Percent Change (APC) (%),APC Lower Confidence Interval (%),APC Upper Confidence Interval (%),Trend Direction,Type
Female,All Races (includes Hispanic),All Ages,Observed Rates,2000,134.2781,133.3103,135.2512,2000-2004,-2.0051,-3.2455,-0.7487,Trend is Falling,Breast
Female,All Races (includes Hispanic),All Ages,Observed Rates,2001,133.2793,132.3226,134.2411,2004-2016,0.2481,0.0189,0.4779,Trend is Rising,Breast
Female,All Races (includes Hispanic),All Ages,Observed Rates,2002,130.6141,129.6746,131.5586,,,,,,Breast
Female,All Races (includes Hispanic),All Ages,Observed Rates,2003,124.7563,123.8448,125.6729,,,,,,Breast
Female,All Races (includes Hispanic),All Ages,Observed Rates,2004,124.4228,123.5179,125.3327,,,,,,Breast
Female,All Races (includes Hispanic),All Ages,Observed Rates,2005,123.7758,122.8694,124.6873,,,,,,Breast
Female,All Races (includes Hispanic),All Ages,Observed Rates,2006,124.194,123.299,125.094,,,,,,Breast
Female,All Races (includes Hispanic),All Ages,Observed Rates,2007,126.4071,125.5101,127.309,,,,,,Breast
Female,All Races (includes Hispanic),All Ages,Observed Rates,2008,127.6182,126.7224,128.5188,,,,,,Breast
Female,All Races (includes Hispanic),All Ages,Observed Rates,2009,128.3901,127.4975,129.2874,,,,,,Breast
Female,All Races (includes Hispanic),All Ages,Observed Rates,2010,123.709,122.838,124.5848,,,,,,Breast
Female,All Races (includes Hispanic),All Ages,Observed Rates,2011,127.3177,126.439,128.2011,,,,,,Breast
Female,All Races (includes Hispanic),All Ages,Observed Rates,2012,126.5026,125.6329,127.377,,,,,,Breast
Female,All Races (includes Hispanic),All Ages,Observed Rates,2013,127.9019,127.0324,128.7759,,,,,,Breast
Female,All Races (includes Hispanic),All Ages,Observed Rates,2014,127.9237,127.0595,128.7924,,,,,,Breast
Female,All Races (includes Hispanic),All Ages,Observed Rates,2015,128.8644,128.0019,129.7314,,,,,,Breast
Female,All Races (includes Hispanic),All Ages,Observed Rates,2016,126.254,125.4046,127.1078,,,,,,Breast
Female,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2000,134.2781,133.3103,135.2512,2000-2004,-2.0732,-3.257,-0.8749,Trend is Falling,Breast
Female,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2001,133.2793,132.3226,134.2411,2004-2016,0.3456,0.1264,0.5651,Trend is Rising,Breast
Female,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2002,130.6141,129.6746,131.5586,,,,,,Breast
Female,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2003,124.7563,123.8448,125.6729,,,,,,Breast
Female,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2004,124.4228,123.5179,125.3327,,,,,,Breast
Female,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2005,123.7758,122.8694,124.6873,,,,,,Breast
Female,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2006,124.194,123.299,125.094,,,,,,Breast
Female,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2007,126.4071,125.5101,127.309,,,,,,Breast
Female,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2008,127.7225,126.8259,128.6238,,,,,,Breast
Female,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2009,128.6006,127.7066,129.4995,,,,,,Breast
Female,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2010,124.0144,123.1412,124.8924,,,,,,Breast
Female,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2011,127.7346,126.853,128.6208,,,,,,Breast
Female,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2012,127.0229,126.1496,127.9009,,,,,,Breast
Female,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2013,128.5328,127.6591,129.4112,,,,,,Breast
Female,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2014,128.7787,127.9087,129.6532,,,,,,Breast
Female,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2015,130.0665,129.196,130.9416,,,,,,Breast
Female,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2016,128.0603,127.1987,128.9264,,,,,,Breast
Female,All Races (includes Hispanic),Ages < 50,Observed Rates,2000,43.6675,43.0089,44.3337,2000-2016,0.3111,0.1562,0.4663,Trend is Rising,Breast
Female,All Races (includes Hispanic),Ages < 50,Observed Rates,2001,43.3565,42.7041,44.0164,,,,,,Breast
Female,All Races (includes Hispanic),Ages < 50,Observed Rates,2002,42.0999,41.4599,42.7473,,,,,,Breast
Female,All Races (includes Hispanic),Ages < 50,Observed Rates,2003,43.2443,42.5972,43.8987,,,,,,Breast
Female,All Races (includes Hispanic),Ages < 50,Observed Rates,2004,43.9922,43.3403,44.6516,,,,,,Breast
Female,All Races (includes Hispanic),Ages < 50,Observed Rates,2005,43.0317,42.3804,43.6905,,,,,,Breast
Female,All Races (includes Hispanic),Ages < 50,Observed Rates,2006,43.8817,43.2292,44.5416,,,,,,Breast
Female,All Races (includes Hispanic),Ages < 50,Observed Rates,2007,44.0978,43.4415,44.7615,,,,,,Breast
Female,All Races (includes Hispanic),Ages < 50,Observed Rates,2008,44.7605,44.0967,45.4319,,,,,,Breast
Female,All Races (includes Hispanic),Ages < 50,Observed Rates,2009,44.7496,44.0838,45.4228,,,,,,Breast
Female,All Races (includes Hispanic),Ages < 50,Observed Rates,2010,43.066,42.4105,43.729,,,,,,Breast
Female,All Races (includes Hispanic),Ages < 50,Observed Rates,2011,44.7356,44.0654,45.4135,,,,,,Breast
Female,All Races (includes Hispanic),Ages < 50,Observed Rates,2012,44.147,43.4783,44.8233,,,,,,Breast
Female,All Races (includes Hispanic),Ages < 50,Observed Rates,2013,45.0777,44.3987,45.7644,,,,,,Breast
Female,All Races (includes Hispanic),Ages < 50,Observed Rates,2014,45.1787,44.4954,45.8699,,,,,,Breast
Female,All Races (includes Hispanic),Ages < 50,Observed Rates,2015,45.6765,44.9878,46.3729,,,,,,Breast
Female,All Races (includes Hispanic),Ages < 50,Observed Rates,2016,44.5685,43.8875,45.2574,,,,,,Breast
Female,All Races (includes Hispanic),Ages < 50,Delay-adjusted Rates,2000,43.6675,43.0089,44.3337,2000-2016,0.381,0.2265,0.5357,Trend is Rising,Breast
Female,All Races (includes Hispanic),Ages < 50,Delay-adjusted Rates,2001,43.3565,42.7041,44.0164,,,,,,Breast
Female,All Races (includes Hispanic),Ages < 50,Delay-adjusted Rates,2002,42.0999,41.4599,42.7473,,,,,,Breast
Female,All Races (includes Hispanic),Ages < 50,Delay-adjusted Rates,2003,43.2443,42.5972,43.8987,,,,,,Breast
Female,All Races (includes Hispanic),Ages < 50,Delay-adjusted Rates,2004,43.9922,43.3403,44.6516,,,,,,Breast
Female,All Races (includes Hispanic),Ages < 50,Delay-adjusted Rates,2005,43.0317,42.3804,43.6905,,,,,,Breast
Female,All Races (includes Hispanic),Ages < 50,Delay-adjusted Rates,2006,43.8817,43.2292,44.5416,,,,,,Breast
Female,All Races (includes Hispanic),Ages < 50,Delay-adjusted Rates,2007,44.0978,43.4415,44.7615,,,,,,Breast
Female,All Races (includes Hispanic),Ages < 50,Delay-adjusted Rates,2008,44.7993,44.1349,45.4712,,,,,,Breast
Female,All Races (includes Hispanic),Ages < 50,Delay-adjusted Rates,2009,44.8273,44.1604,45.5017,,,,,,Breast
Female,All Races (includes Hispanic),Ages < 50,Delay-adjusted Rates,2010,43.1782,42.5211,43.843,,,,,,Breast
Female,All Races (includes Hispanic),Ages < 50,Delay-adjusted Rates,2011,44.8909,44.2184,45.5711,,,,,,Breast
Female,All Races (includes Hispanic),Ages < 50,Delay-adjusted Rates,2012,44.3394,43.6679,45.0187,,,,,,Breast
Female,All Races (includes Hispanic),Ages < 50,Delay-adjusted Rates,2013,45.3132,44.6306,46.0035,,,,,,Breast
Female,All Races (includes Hispanic),Ages < 50,Delay-adjusted Rates,2014,45.4929,44.8048,46.1888,,,,,,Breast
Female,All Races (includes Hispanic),Ages < 50,Delay-adjusted Rates,2015,46.1181,45.4228,46.8212,,,,,,Breast
