Sex,Race/Ethnicity,Age,Rate Type,Year,"Age-adjusted (AA) Rate per 100,000",AA Rate Lower Confidence Interval,AA Rate Upper Confidence Interval,Trend Year Range,Annual Percent Change (APC) (%),APC Lower Confidence Interval (%),APC Upper Confidence Interval (%),Trend Direction,Type
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2000,55.8266,55.3636,56.2925,2000-2008,-2.5216,-2.8344,-2.2078,Trend is Falling,Colon & Rectum
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2001,55.1434,54.6864,55.6031,2008-2011,-3.9808,-6.8777,-0.9939,Trend is Falling,Colon & Rectum
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2002,54.0724,53.6234,54.5241,2011-2016,-1.6533,-2.3369,-0.9649,Trend is Falling,Colon & Rectum
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2003,52.4334,51.9948,52.8749,,,,,,Colon & Rectum
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2004,50.6981,50.2696,51.1292,,,,,,Colon & Rectum
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2005,49.1341,48.7112,49.5597,,,,,,Colon & Rectum
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2006,47.879,47.4679,48.2928,,,,,,Colon & Rectum
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2007,47.2988,46.8938,47.7065,,,,,,Colon & Rectum
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2008,46.0884,45.6917,46.4876,,,,,,Colon & Rectum
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2009,44.2164,43.8315,44.6039,,,,,,Colon & Rectum
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2010,42.172,41.7994,42.5471,,,,,,Colon & Rectum
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2011,40.9094,40.5452,41.276,,,,,,Colon & Rectum
