Sex,Race/Ethnicity,Age,Rate Type,Year,"Age-adjusted (AA) Rate per 100,000",AA Rate Lower Confidence Interval,AA Rate Upper Confidence Interval,Trend Year Range,Annual Percent Change (APC) (%),APC Lower Confidence Interval (%),APC Upper Confidence Interval (%),Trend Direction,Type
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2000,12.3159,12.0998,12.5348,2000-2007,3.483,2.7723,4.1986,Trend is Rising,Kidney
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2001,12.9334,12.7135,13.1561,2007-2016,0.2898,-0.1153,0.6965,Stable,Kidney
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2002,13.225,13.0044,13.4483,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2003,13.7381,13.5151,13.9637,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2004,14.0902,13.8659,14.3172,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2005,14.5439,14.315,14.7754,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2006,15.2797,15.0486,15.5133,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2007,15.641,15.4091,15.8755,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2008,16.0782,15.8454,16.3136,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2009,16.0538,15.8228,16.2872,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2010,15.4083,15.1839,15.6353,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2011,15.7117,15.4869,15.9389,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2012,15.9126,15.6886,16.1391,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2013,16.0344,15.8115,16.2597,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2014,16.0613,15.8405,16.2844,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2015,16.4621,16.2398,16.6866,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2016,15.9046,15.6879,16.1235,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2000,12.3159,12.0998,12.5348,2000-2007,3.4336,2.7228,4.1494,Trend is Rising,Kidney
Both Sexes,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2001,12.9334,12.7135,13.1561,2007-2016,0.5552,0.1488,0.9632,Trend is Rising,Kidney
