Sex,Race/Ethnicity,Age,Rate Type,Year,"Age-adjusted (AA) Rate per 100,000",AA Rate Lower Confidence Interval,AA Rate Upper Confidence Interval,Trend Year Range,Annual Percent Change (APC) (%),APC Lower Confidence Interval (%),APC Upper Confidence Interval (%),Trend Direction,Type
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2000,13.4187,13.1935,13.6467,2000-2014,0.6624,0.4098,0.9156,Trend is Rising,Leukemia
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2001,13.6557,13.43,13.8843,2014-2016,-4.1685,-8.9142,0.8243,Stable,Leukemia
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2002,13.1382,12.9182,13.3609,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2003,13.5746,13.3524,13.7996,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2004,13.6307,13.4092,13.855,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2005,13.3915,13.171,13.6148,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2006,13.5184,13.3,13.7395,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2007,13.6358,13.418,13.8563,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2008,13.7758,13.5585,13.9957,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2009,13.8258,13.6096,14.0446,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2010,14.4228,14.2034,14.6448,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2011,14.578,14.3589,14.7997,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2012,14.2897,14.0745,14.5074,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2013,14.4385,14.2243,14.6551,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2014,14.4126,14.2005,14.6272,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2015,14.0196,13.8118,14.2298,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2016,13.2585,13.0576,13.4618,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2000,13.4187,13.1935,13.6467,2000-2007,0.0869,-0.62,0.7988,Stable,Leukemia
Both Sexes,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2001,13.6557,13.43,13.8843,2007-2011,2.7171,0.1885,5.3095,Trend is Rising,Leukemia
Both Sexes,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2002,13.1382,12.9182,13.3609,2011-2016,-0.0353,-1.1101,1.0511,Stable,Leukemia
Both Sexes,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2003,13.5746,13.3524,13.7996,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2004,13.6307,13.4092,13.855,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2005,13.3915,13.171,13.6148,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2006,13.5184,13.3,13.7395,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2007,13.6358,13.418,13.8563,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2008,13.883,13.664,14.1046,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2009,14.0429,13.8233,14.2651,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2010,14.7661,14.5415,14.9933,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2011,15.043,14.817,15.2715,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2012,14.8635,14.6398,15.0898,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2013,15.1407,14.9164,15.3676,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2014,15.3122,15.0872,15.5398,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2015,15.1717,14.9473,15.3987,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2016,14.7485,14.5257,14.9739,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),Ages < 50,Observed Rates,2000,4.166,4.0233,4.3125,2000-2011,1.2684,1.0906,1.4465,Trend is Rising,Leukemia
Both Sexes,All Races (includes Hispanic),Ages < 50,Observed Rates,2001,4.2154,4.0721,4.3625,2011-2016,-0.027,-0.5936,0.5428,Stable,Leukemia
Both Sexes,All Races (includes Hispanic),Ages < 50,Observed Rates,2002,4.2393,4.0959,4.3865,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),Ages < 50,Observed Rates,2003,4.2624,4.1188,4.4098,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),Ages < 50,Observed Rates,2004,4.3725,4.227,4.5216,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),Ages < 50,Observed Rates,2005,4.3957,4.2484,4.5468,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),Ages < 50,Observed Rates,2006,4.4472,4.3003,4.5978,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),Ages < 50,Observed Rates,2007,4.5985,4.4489,4.7519,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),Ages < 50,Observed Rates,2008,4.5774,4.428,4.7304,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),Ages < 50,Observed Rates,2009,4.6283,4.4779,4.7824,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),Ages < 50,Observed Rates,2010,4.6946,4.543,4.8499,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),Ages < 50,Observed Rates,2011,4.8058,4.6521,4.9633,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),Ages < 50,Observed Rates,2012,4.7057,4.5532,4.8621,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),Ages < 50,Observed Rates,2013,4.7298,4.5768,4.8865,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),Ages < 50,Observed Rates,2014,4.8276,4.6729,4.9861,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),Ages < 50,Observed Rates,2015,4.7668,4.6129,4.9246,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),Ages < 50,Observed Rates,2016,4.7295,4.576,4.8868,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),Ages < 50,Delay-adjusted Rates,2000,4.166,4.0233,4.3125,2000-2016,1.1989,1.0795,1.3184,Trend is Rising,Leukemia
