Sex,Race/Ethnicity,Age,Rate Type,Year,"Age-adjusted (AA) Rate per 100,000",AA Rate Lower Confidence Interval,AA Rate Upper Confidence Interval,Trend Year Range,Annual Percent Change (APC) (%),APC Lower Confidence Interval (%),APC Upper Confidence Interval (%),Trend Direction,Type
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2000,5.837,5.6884,5.9884,2000-2008,4.0629,3.4352,4.6944,Trend is Rising,Liver & Intrahepatic Bile Duct
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2001,5.9908,5.8415,6.143,2008-2014,2.4002,1.3635,3.4474,Trend is Rising,Liver & Intrahepatic Bile Duct
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2002,6.0628,5.9138,6.2146,2014-2016,-2.2471,-6.3076,1.9893,Stable,Liver & Intrahepatic Bile Duct
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2003,6.2715,6.1213,6.4244,,,,,,Liver & Intrahepatic Bile Duct
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2004,6.7245,6.5702,6.8815,,,,,,Liver & Intrahepatic Bile Duct
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2005,7.1177,6.9585,7.2795,,,,,,Liver & Intrahepatic Bile Duct
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2006,7.2571,7.0994,7.4175,,,,,,Liver & Intrahepatic Bile Duct
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2007,7.63,7.4697,7.7928,,,,,,Liver & Intrahepatic Bile Duct
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2008,7.8735,7.7123,8.0372,,,,,,Liver & Intrahepatic Bile Duct
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2009,8.1537,7.9917,8.3183,,,,,,Liver & Intrahepatic Bile Duct
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2010,8.131,7.9709,8.2937,,,,,,Liver & Intrahepatic Bile Duct
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2011,8.3359,8.1755,8.4987,,,,,,Liver & Intrahepatic Bile Duct
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2012,8.6941,8.5321,8.8585,,,,,,Liver & Intrahepatic Bile Duct
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2013,8.8073,8.6463,8.9706,,,,,,Liver & Intrahepatic Bile Duct
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2014,9.0772,8.9156,9.2412,,,,,,Liver & Intrahepatic Bile Duct
