Sex,Race/Ethnicity,Age,Rate Type,Year,"Age-adjusted (AA) Rate per 100,000",AA Rate Lower Confidence Interval,AA Rate Upper Confidence Interval,Trend Year Range,Annual Percent Change (APC) (%),APC Lower Confidence Interval (%),APC Upper Confidence Interval (%),Trend Direction,Type
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2000,67.7572,67.2467,68.2707,2000-2008,-0.798,-1.0484,-0.547,Trend is Falling,Lung & Bronchus
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2001,67.2193,66.7139,67.7275,2008-2016,-2.4087,-2.6537,-2.163,Trend is Falling,Lung & Bronchus
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2002,66.6063,66.1068,67.1085,,,,,,Lung & Bronchus
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2003,66.0068,65.5131,66.5033,,,,,,Lung & Bronchus
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2004,65.0879,64.6002,65.5783,,,,,,Lung & Bronchus
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2005,65.0743,64.5846,65.5668,,,,,,Lung & Bronchus
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2006,64.8462,64.3649,65.3303,,,,,,Lung & Bronchus
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2007,64.1598,63.6846,64.6376,,,,,,Lung & Bronchus
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2008,63.3341,62.8663,63.8045,,,,,,Lung & Bronchus
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2009,62.5946,62.1335,63.0584,,,,,,Lung & Bronchus
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2010,59.8893,59.442,60.3392,,,,,,Lung & Bronchus
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2011,58.5101,58.0723,58.9504,,,,,,Lung & Bronchus
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2012,57.4688,57.0402,57.8999,,,,,,Lung & Bronchus
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2013,56.208,55.7893,56.6291,,,,,,Lung & Bronchus
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2014,55.1285,54.7192,55.5402,,,,,,Lung & Bronchus
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2015,54.2288,53.8274,54.6325,,,,,,Lung & Bronchus
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2016,51.6654,51.278,52.0552,,,,,,Lung & Bronchus
