Sex,Race/Ethnicity,Age,Rate Type,Year,"Age-adjusted (AA) Rate per 100,000",AA Rate Lower Confidence Interval,AA Rate Upper Confidence Interval,Trend Year Range,Annual Percent Change (APC) (%),APC Lower Confidence Interval (%),APC Upper Confidence Interval (%),Trend Direction,Type
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2000,19.4146,19.1435,19.6887,2000-2008,0.7132,0.3275,1.1003,Trend is Rising,Non-Hodgkin Lymphoma
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2001,19.5918,19.3213,19.8651,2008-2016,-0.8454,-1.2019,-0.4877,Trend is Falling,Non-Hodgkin Lymphoma
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2002,19.6621,19.393,19.9339,,,,,,Non-Hodgkin Lymphoma
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2003,19.9661,19.6967,20.2382,,,,,,Non-Hodgkin Lymphoma
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2004,20.2815,20.0116,20.5542,,,,,,Non-Hodgkin Lymphoma
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2005,20.2834,20.0123,20.5573,,,,,,Non-Hodgkin Lymphoma
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2006,20.2987,20.0315,20.5685,,,,,,Non-Hodgkin Lymphoma
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2007,20.4323,20.1663,20.7009,,,,,,Non-Hodgkin Lymphoma
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2008,20.5247,20.2599,20.7922,,,,,,Non-Hodgkin Lymphoma
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2009,20.5001,20.2371,20.7657,,,,,,Non-Hodgkin Lymphoma
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2010,20.3215,20.0619,20.5837,,,,,,Non-Hodgkin Lymphoma
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2011,19.8279,19.5734,20.0848,,,,,,Non-Hodgkin Lymphoma
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2012,19.9412,19.6886,20.1963,,,,,,Non-Hodgkin Lymphoma
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2013,19.6983,19.4494,19.9496,,,,,,Non-Hodgkin Lymphoma
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2014,20.0064,19.7578,20.2574,,,,,,Non-Hodgkin Lymphoma
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2015,19.6693,19.4249,19.916,,,,,,Non-Hodgkin Lymphoma
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2016,18.8922,18.6546,19.1321,,,,,,Non-Hodgkin Lymphoma
Both Sexes,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2000,19.4146,19.1435,19.6887,2000-2008,0.7051,0.3609,1.0506,Trend is Rising,Non-Hodgkin Lymphoma
Both Sexes,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2001,19.5918,19.3213,19.8651,2008-2016,-0.5421,-0.8613,-0.2219,Trend is Falling,Non-Hodgkin Lymphoma
Both Sexes,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2002,19.6621,19.393,19.9339,,,,,,Non-Hodgkin Lymphoma
Both Sexes,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2003,19.9661,19.6967,20.2382,,,,,,Non-Hodgkin Lymphoma
Both Sexes,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2004,20.2815,20.0116,20.5542,,,,,,Non-Hodgkin Lymphoma
Both Sexes,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2005,20.2834,20.0123,20.5573,,,,,,Non-Hodgkin Lymphoma
Both Sexes,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2006,20.2987,20.0315,20.5685,,,,,,Non-Hodgkin Lymphoma
Both Sexes,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2007,20.4323,20.1663,20.7009,,,,,,Non-Hodgkin Lymphoma
Both Sexes,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2008,20.5638,20.2984,20.8318,,,,,,Non-Hodgkin Lymphoma
Both Sexes,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2009,20.5779,20.3139,20.8445,,,,,,Non-Hodgkin Lymphoma
Both Sexes,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2010,20.4369,20.1758,20.7006,,,,,,Non-Hodgkin Lymphoma
Both Sexes,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2011,19.98,19.7236,20.2389,,,,,,Non-Hodgkin Lymphoma
Both Sexes,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2012,20.1322,19.8771,20.3898,,,,,,Non-Hodgkin Lymphoma
Both Sexes,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2013,19.923,19.6713,20.1772,,,,,,Non-Hodgkin Lymphoma
Both Sexes,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2014,20.3103,20.0579,20.5651,,,,,,Non-Hodgkin Lymphoma
Both Sexes,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2015,20.0653,19.816,20.317,,,,,,Non-Hodgkin Lymphoma
Both Sexes,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2016,19.478,19.2331,19.7253,,,,,,Non-Hodgkin Lymphoma
Both Sexes,All Races (includes Hispanic),Ages < 50,Observed Rates,2000,5.4022,5.2391,5.5691,2000-2016,-0.5299,-0.7283,-0.3311,Trend is Falling,Non-Hodgkin Lymphoma
Both Sexes,All Races (includes Hispanic),Ages < 50,Observed Rates,2001,5.3176,5.1565,5.4823,,,,,,Non-Hodgkin Lymphoma
Both Sexes,All Races (includes Hispanic),Ages < 50,Observed Rates,2002,5.2017,5.0429,5.3643,,,,,,Non-Hodgkin Lymphoma
Both Sexes,All Races (includes Hispanic),Ages < 50,Observed Rates,2003,5.176,5.0178,5.3378,,,,,,Non-Hodgkin Lymphoma
Both Sexes,All Races (includes Hispanic),Ages < 50,Observed Rates,2004,5.2118,5.0531,5.3742,,,,,,Non-Hodgkin Lymphoma
Both Sexes,All Races (includes Hispanic),Ages < 50,Observed Rates,2005,5.2375,5.0767,5.4021,,,,,,Non-Hodgkin Lymphoma
Both Sexes,All Races (includes Hispanic),Ages < 50,Observed Rates,2006,5.1117,4.9543,5.2729,,,,,,Non-Hodgkin Lymphoma
