Sex,Race/Ethnicity,Age,Rate Type,Year,"Age-adjusted (AA) Rate per 100,000",AA Rate Lower Confidence Interval,AA Rate Upper Confidence Interval,Trend Year Range,Annual Percent Change (APC) (%),APC Lower Confidence Interval (%),APC Upper Confidence Interval (%),Trend Direction,Type
Female,All Races (includes Hispanic),All Ages,Observed Rates,2000,24.0464,23.638,24.46,2000-2016,1.0061,0.8491,1.1633,Trend is Rising,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),All Ages,Observed Rates,2001,25.0216,24.608,25.4404,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),All Ages,Observed Rates,2002,24.5729,24.1669,24.9842,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),All Ages,Observed Rates,2003,23.9293,23.532,24.3317,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),All Ages,Observed Rates,2004,24.3447,23.947,24.7475,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),All Ages,Observed Rates,2005,24.8254,24.4222,25.2336,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),All Ages,Observed Rates,2006,24.8758,24.4791,25.2774,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),All Ages,Observed Rates,2007,25.2406,24.8444,25.6417,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),All Ages,Observed Rates,2008,26.0861,25.6866,26.4904,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),All Ages,Observed Rates,2009,26.3538,25.956,26.7562,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),All Ages,Observed Rates,2010,26.1878,25.7943,26.586,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),All Ages,Observed Rates,2011,26.5045,26.1117,26.9019,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),All Ages,Observed Rates,2012,27.1036,26.7101,27.5016,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),All Ages,Observed Rates,2013,27.0769,26.6873,27.471,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),All Ages,Observed Rates,2014,27.5261,27.1359,27.9206,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),All Ages,Observed Rates,2015,27.7345,27.346,28.1274,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),All Ages,Observed Rates,2016,28.1257,27.7364,28.5192,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2000,24.0464,23.638,24.46,2000-2003,-0.4582,-2.109,1.2203,Stable,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2001,25.0216,24.608,25.4404,2003-2016,1.2167,1.0574,1.3761,Trend is Rising,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2002,24.5729,24.1669,24.9842,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2003,23.9293,23.532,24.3317,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2004,24.3447,23.947,24.7475,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2005,24.8254,24.4222,25.2336,,,,,,"Corpus & Uterus, NOS"
