Sex,Race/Ethnicity,Age,Rate Type,Year,"Age-adjusted (AA) Rate per 100,000",AA Rate Lower Confidence Interval,AA Rate Upper Confidence Interval,Trend Year Range,Annual Percent Change (APC) (%),APC Lower Confidence Interval (%),APC Upper Confidence Interval (%),Trend Direction,Type
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2000,10.6945,10.4936,10.8982,2000-2003,-0.6954,-2.4919,1.1342,Stable,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2001,10.6141,10.4156,10.8154,2003-2016,0.6958,0.5194,0.8725,Trend is Rising,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2002,10.6961,10.4987,10.8963,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2003,10.4727,10.2791,10.6691,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2004,10.6046,10.4112,10.8008,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2005,10.3958,10.2039,10.5903,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2006,10.6215,10.4308,10.8148,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2007,10.8601,10.6688,11.054,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2008,10.9375,10.7472,11.1303,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2009,11.1675,10.9768,11.3607,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2010,10.9504,10.7636,11.1397,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2011,11.1239,10.9368,11.3135,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2012,11.0846,10.8998,11.2719,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2013,11.2995,11.1147,11.4867,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2014,11.3361,11.1529,11.5215,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2015,11.4872,11.3042,11.6725,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2016,11.3547,11.1742,11.5375,,,,,,Oral Cavity & Pharynx
