Sex,Race/Ethnicity,Age,Rate Type,Year,"Age-adjusted (AA) Rate per 100,000",AA Rate Lower Confidence Interval,AA Rate Upper Confidence Interval,Trend Year Range,Annual Percent Change (APC) (%),APC Lower Confidence Interval (%),APC Upper Confidence Interval (%),Trend Direction,Type
Female,All Races (includes Hispanic),All Ages,Observed Rates,2000,14.4652,14.1497,14.786,2000-2016,-1.7102,-1.8998,-1.5202,Trend is Falling,Ovary
Female,All Races (includes Hispanic),All Ages,Observed Rates,2001,14.5742,14.2599,14.8937,,,,,,Ovary
Female,All Races (includes Hispanic),All Ages,Observed Rates,2002,14.1145,13.8076,14.4265,,,,,,Ovary
Female,All Races (includes Hispanic),All Ages,Observed Rates,2003,13.6596,13.3599,13.9643,,,,,,Ovary
Female,All Races (includes Hispanic),All Ages,Observed Rates,2004,13.3631,13.0685,13.6626,,,,,,Ovary
Female,All Races (includes Hispanic),All Ages,Observed Rates,2005,13.2145,12.9204,13.5138,,,,,,Ovary
Female,All Races (includes Hispanic),All Ages,Observed Rates,2006,13.1473,12.8585,13.441,,,,,,Ovary
Female,All Races (includes Hispanic),All Ages,Observed Rates,2007,12.9191,12.6347,13.2083,,,,,,Ovary
Female,All Races (includes Hispanic),All Ages,Observed Rates,2008,12.988,12.7042,13.2767,,,,,,Ovary
Female,All Races (includes Hispanic),All Ages,Observed Rates,2009,12.6522,12.3739,12.9353,,,,,,Ovary
Female,All Races (includes Hispanic),All Ages,Observed Rates,2010,12.2886,12.0163,12.5656,,,,,,Ovary
Female,All Races (includes Hispanic),All Ages,Observed Rates,2011,12.0521,11.784,12.325,,,,,,Ovary
Female,All Races (includes Hispanic),All Ages,Observed Rates,2012,11.9508,11.6855,12.2209,,,,,,Ovary
Female,All Races (includes Hispanic),All Ages,Observed Rates,2013,11.6844,11.4243,11.9491,,,,,,Ovary
Female,All Races (includes Hispanic),All Ages,Observed Rates,2014,11.5325,11.2751,11.7944,,,,,,Ovary
Female,All Races (includes Hispanic),All Ages,Observed Rates,2015,11.5443,11.2882,11.8049,,,,,,Ovary
Female,All Races (includes Hispanic),All Ages,Observed Rates,2016,10.4967,10.2537,10.7441,,,,,,Ovary
Female,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2000,14.4652,14.1497,14.786,2000-2016,-1.58,-1.7481,-1.4116,Trend is Falling,Ovary
Female,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2001,14.5742,14.2599,14.8937,,,,,,Ovary
Female,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2002,14.1145,13.8076,14.4265,,,,,,Ovary
Female,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2003,13.6596,13.3599,13.9643,,,,,,Ovary
Female,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2004,13.3631,13.0685,13.6626,,,,,,Ovary
Female,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2005,13.2145,12.9204,13.5138,,,,,,Ovary
Female,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2006,13.1473,12.8585,13.441,,,,,,Ovary
Female,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2007,12.9191,12.6347,13.2083,,,,,,Ovary
Female,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2008,13.0075,12.7232,13.2966,,,,,,Ovary
Female,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2009,12.6902,12.4111,12.9742,,,,,,Ovary
Female,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2010,12.3446,12.071,12.623,,,,,,Ovary
Female,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2011,12.1262,11.8564,12.4007,,,,,,Ovary
Female,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2012,12.043,11.7755,12.3151,,,,,,Ovary
Female,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2013,11.7902,11.5277,12.0574,,,,,,Ovary
Female,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2014,11.6819,11.4211,11.9472,,,,,,Ovary
