Sex,Race/Ethnicity,Age,Rate Type,Year,"Age-adjusted (AA) Rate per 100,000",AA Rate Lower Confidence Interval,AA Rate Upper Confidence Interval,Trend Year Range,Annual Percent Change (APC) (%),APC Lower Confidence Interval (%),APC Upper Confidence Interval (%),Trend Direction,Type
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2000,11.6366,11.4256,11.8505,2000-2014,0.8637,0.7105,1.0171,Trend is Rising,Pancreas
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2001,11.6122,11.4029,11.8244,2014-2016,-1.3991,-4.2234,1.5084,Stable,Pancreas
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2002,11.9186,11.708,12.132,,,,,,Pancreas
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2003,11.8136,11.6055,12.0245,,,,,,Pancreas
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2004,11.976,11.768,12.1867,,,,,,Pancreas
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2005,12.1334,11.9234,12.3461,,,,,,Pancreas
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2006,12.4655,12.2558,12.678,,,,,,Pancreas
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2007,12.4483,12.2404,12.6587,,,,,,Pancreas
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2008,12.7264,12.5182,12.9372,,,,,,Pancreas
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2009,12.7234,12.5168,12.9325,,,,,,Pancreas
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2010,12.6567,12.4525,12.8634,,,,,,Pancreas
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2011,12.7205,12.5177,12.9258,,,,,,Pancreas
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2012,12.8252,12.6243,13.0285,,,,,,Pancreas
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2013,12.9337,12.7343,13.1356,,,,,,Pancreas
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2014,13.0328,12.8348,13.2332,,,,,,Pancreas
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2015,13.1515,12.9543,13.351,,,,,,Pancreas
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2016,12.6794,12.4877,12.8733,,,,,,Pancreas
Both Sexes,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2000,11.6366,11.4256,11.8505,2000-2008,1.1382,0.8089,1.4686,Trend is Rising,Pancreas
