Sex,Race/Ethnicity,Age,Rate Type,Year,"Age-adjusted (AA) Rate per 100,000",AA Rate Lower Confidence Interval,AA Rate Upper Confidence Interval,Trend Year Range,Annual Percent Change (APC) (%),APC Lower Confidence Interval (%),APC Upper Confidence Interval (%),Trend Direction,Type
Male,All Races (includes Hispanic),All Ages,Observed Rates,2000,179.0522,177.7762,180.3348,2000-2008,-1.4056,-3.1802,0.4015,Stable,Prostate
Male,All Races (includes Hispanic),All Ages,Observed Rates,2001,179.7058,178.4403,180.9778,2008-2016,-5.6453,-7.4179,-3.8388,Trend is Falling,Prostate
Male,All Races (includes Hispanic),All Ages,Observed Rates,2002,179.8927,178.6391,181.1528,,,,,,Prostate
Male,All Races (includes Hispanic),All Ages,Observed Rates,2003,163.1899,162.0078,164.3782,,,,,,Prostate
Male,All Races (includes Hispanic),All Ages,Observed Rates,2004,160.6418,159.4803,161.8094,,,,,,Prostate
Male,All Races (includes Hispanic),All Ages,Observed Rates,2005,154.2034,153.0656,155.3474,,,,,,Prostate
Male,All Races (includes Hispanic),All Ages,Observed Rates,2006,166.2177,165.0599,167.3814,,,,,,Prostate
Male,All Races (includes Hispanic),All Ages,Observed Rates,2007,170.3806,169.2243,171.5427,,,,,,Prostate
Male,All Races (includes Hispanic),All Ages,Observed Rates,2008,156.742,155.6499,157.8397,,,,,,Prostate
Male,All Races (includes Hispanic),All Ages,Observed Rates,2009,151.8206,150.7619,152.8849,,,,,,Prostate
Male,All Races (includes Hispanic),All Ages,Observed Rates,2010,143.9297,142.9116,144.9532,,,,,,Prostate
Male,All Races (includes Hispanic),All Ages,Observed Rates,2011,142.9385,141.938,143.9443,,,,,,Prostate
Male,All Races (includes Hispanic),All Ages,Observed Rates,2012,118.5075,117.6117,119.4085,,,,,,Prostate
Male,All Races (includes Hispanic),All Ages,Observed Rates,2013,112.3743,111.5151,113.2387,,,,,,Prostate
Male,All Races (includes Hispanic),All Ages,Observed Rates,2014,103.2438,102.4319,104.0605,,,,,,Prostate
Male,All Races (includes Hispanic),All Ages,Observed Rates,2015,106.7791,105.9641,107.599,,,,,,Prostate
Male,All Races (includes Hispanic),All Ages,Observed Rates,2016,107.3127,106.5061,108.1241,,,,,,Prostate
Male,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2000,179.0522,177.7762,180.3348,2000-2010,-1.7411,-2.8104,-0.66,Trend is Falling,Prostate
