Sex,Race/Ethnicity,Age,Rate Type,Year,"Age-adjusted (AA) Rate per 100,000",AA Rate Lower Confidence Interval,AA Rate Upper Confidence Interval,Trend Year Range,Annual Percent Change (APC) (%),APC Lower Confidence Interval (%),APC Upper Confidence Interval (%),Trend Direction,Type
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2000,16.5812,16.3321,16.8331,2000-2005,3.6505,2.0316,5.2952,Trend is Rising,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2001,18.0599,17.8018,18.3208,2005-2016,1.1141,0.7026,1.5273,Trend is Rising,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2002,18.1311,17.8742,18.3907,,,,,,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2003,17.7028,17.4505,17.9578,,,,,,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2004,19.3383,19.076,19.6033,,,,,,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2005,20.6229,20.3506,20.8978,,,,,,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2006,20.5261,20.2585,20.7964,,,,,,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2007,20.468,20.2026,20.736,,,,,,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2008,20.8977,20.6313,21.1667,,,,,,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2009,20.9235,20.6586,21.191,,,,,,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2010,20.9223,20.6592,21.188,,,,,,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2011,21.1582,20.8956,21.4234,,,,,,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2012,21.356,21.0947,21.6199,,,,,,Melanoma of the Skin
