Sex,Race/Ethnicity,Age,Year,"Age-adjusted (AA) Rate per 100,000",AA Rate Lower Confidence Interval,AA Rate Upper Confidence Interval,Trend Year Range,Annual Percent Change (APC) (%),APC Lower Confidence Interval (%),APC Upper Confidence Interval (%),Trend Direction,Type
Both Sexes,All Races (includes Hispanic),All Ages,2000,4.5302,4.4516,4.6098,2000-2006,-1.2455,-1.7966,-0.6913,Trend is Falling,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),All Ages,2001,4.4477,4.3703,4.526,2006-2016,0.5602,0.3169,0.8042,Trend is Rising,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),All Ages,2002,4.4533,4.3765,4.5311,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),All Ages,2003,4.4032,4.3275,4.48,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),All Ages,2004,4.3068,4.2324,4.3822,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),All Ages,2005,4.3428,4.2686,4.418,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),All Ages,2006,4.1727,4.1005,4.2458,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),All Ages,2007,4.2121,4.1401,4.2851,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),All Ages,2008,4.2768,4.2049,4.3496,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),All Ages,2009,4.3471,4.2751,4.4201,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),All Ages,2010,4.2462,4.1756,4.3177,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),All Ages,2011,4.2514,4.1814,4.3223,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),All Ages,2012,4.3965,4.3259,4.468,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),All Ages,2013,4.3401,4.2705,4.4107,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),All Ages,2014,4.4268,4.3571,4.4974,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),All Ages,2015,4.4239,4.3547,4.4939,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),All Ages,2016,4.4859,4.4168,4.5559,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages < 50,2000,1.4653,1.4131,1.5188,2000-2007,-2.0425,-3.0866,-0.9872,Trend is Falling,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages < 50,2001,1.4204,1.3693,1.4729,2007-2016,0.2655,-0.4877,1.0245,Stable,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages < 50,2002,1.439,1.3877,1.4917,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages < 50,2003,1.4665,1.4147,1.5197,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages < 50,2004,1.3299,1.2807,1.3805,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages < 50,2005,1.35,1.3004,1.4009,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages < 50,2006,1.2757,1.2275,1.3252,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages < 50,2007,1.2808,1.2325,1.3305,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages < 50,2008,1.3081,1.2593,1.3583,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages < 50,2009,1.3141,1.265,1.3646,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages < 50,2010,1.2334,1.1858,1.2824,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages < 50,2011,1.2859,1.2372,1.336,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages < 50,2012,1.3202,1.2707,1.3711,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages < 50,2013,1.3036,1.2543,1.3544,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages < 50,2014,1.3037,1.2542,1.3546,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages < 50,2015,1.2955,1.2461,1.3462,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages < 50,2016,1.3295,1.2796,1.3808,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 50-64,2000,8.1742,7.9035,8.4518,2000-2007,-1.5174,-2.1841,-0.8461,Trend is Falling,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 50-64,2001,8.2208,7.9538,8.4944,2007-2016,0.5307,0.1138,0.9493,Trend is Rising,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 50-64,2002,8.1801,7.9192,8.4474,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 50-64,2003,8.0386,7.785,8.2983,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 50-64,2004,7.7632,7.5188,8.0136,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 50-64,2005,7.743,7.5033,7.9883,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 50-64,2006,7.7182,7.4828,7.959,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 50-64,2007,7.3855,7.1599,7.6164,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 50-64,2008,7.5797,7.3545,7.8101,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 50-64,2009,7.4428,7.2229,7.6678,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 50-64,2010,7.5023,7.285,7.7245,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 50-64,2011,7.7006,7.4837,7.9223,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 50-64,2012,7.8157,7.5977,8.0384,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 50-64,2013,7.5756,7.3626,7.7932,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 50-64,2014,7.9102,7.6934,8.1315,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 50-64,2015,7.6469,7.4344,7.864,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 50-64,2016,7.917,7.7017,8.1368,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 65+,2000,17.7551,17.3168,18.2017,2000-2016,0.4307,0.1888,0.6733,Trend is Rising,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 65+,2001,17.304,16.8728,17.7435,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 65+,2002,17.2907,16.8608,17.7287,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 65+,2003,16.9046,16.4815,17.3358,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 65+,2004,17.2503,16.8246,17.684,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 65+,2005,17.4443,17.0183,17.8783,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 65+,2006,16.553,16.1407,16.9732,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 65+,2007,17.2309,16.8132,17.6562,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 65+,2008,17.3555,16.9403,17.7782,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 65+,2009,18.0402,17.6204,18.4674,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 65+,2010,17.6328,17.2213,18.0516,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 65+,2011,17.1385,16.737,17.5471,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 65+,2012,17.9535,17.5492,18.3647,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 65+,2013,17.8872,17.4891,18.292,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 65+,2014,18.1757,17.7807,18.5772,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 65+,2015,18.5121,18.119,18.9116,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 65+,2016,18.4875,18.0997,18.8816,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages <15,2000,0.7295,0.663,0.801,2000-2016,-0.2131,-0.6366,0.2123,Stable,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages <15,2001,0.6897,0.625,0.7593,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages <15,2002,0.7687,0.7002,0.842,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages <15,2003,0.7578,0.6899,0.8305,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages <15,2004,0.7409,0.6737,0.813,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages <15,2005,0.7106,0.6447,0.7814,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages <15,2006,0.702,0.6366,0.7723,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages <15,2007,0.706,0.6405,0.7763,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages <15,2008,0.7074,0.642,0.7776,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages <15,2009,0.6617,0.5985,0.7296,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages <15,2010,0.6711,0.6077,0.7393,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages <15,2011,0.7192,0.6535,0.7897,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages <15,2012,0.7502,0.683,0.8221,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages <15,2013,0.716,0.6505,0.7864,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages <15,2014,0.6888,0.6245,0.758,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages <15,2015,0.7061,0.641,0.7761,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages <15,2016,0.7291,0.6628,0.8002,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 15-39,2000,1.0695,1.0068,1.1351,2000-2007,-2.0973,-3.6748,-0.494,Trend is Falling,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 15-39,2001,1.0281,0.9665,1.0925,2007-2016,0.8121,-0.3184,1.9555,Stable,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 15-39,2002,0.9695,0.9095,1.0324,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 15-39,2003,1.0569,0.9939,1.1228,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 15-39,2004,0.9418,0.8822,1.0043,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 15-39,2005,0.956,0.8961,1.0189,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 15-39,2006,0.9217,0.8629,0.9835,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 15-39,2007,0.8986,0.8406,0.9596,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 15-39,2008,0.9011,0.8432,0.9619,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 15-39,2009,1.0024,0.9412,1.0665,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 15-39,2010,0.8996,0.8414,0.9607,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 15-39,2011,0.9,0.8419,0.9611,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 15-39,2012,0.9852,0.9244,1.0489,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 15-39,2013,0.974,0.9138,1.037,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 15-39,2014,0.9539,0.8945,1.0162,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 15-39,2015,0.9716,0.9119,1.0342,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 15-39,2016,0.9727,0.9134,1.0348,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 40-64,2000,5.7575,5.5975,5.921,2000-2007,-1.7735,-2.54,-1.001,Trend is Falling,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 40-64,2001,5.7501,5.5925,5.9111,2007-2016,0.346,-0.1595,0.854,Stable,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 40-64,2002,5.7869,5.6314,5.9457,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 40-64,2003,5.6884,5.5365,5.8434,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 40-64,2004,5.3736,5.2283,5.522,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 40-64,2005,5.4161,5.272,5.5632,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 40-64,2006,5.2731,5.1328,5.4164,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 40-64,2007,5.1454,5.0082,5.2853,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 40-64,2008,5.3024,5.1642,5.4433,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 40-64,2009,5.163,5.0279,5.301,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 40-64,2010,5.1136,4.9808,5.2492,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 40-64,2011,5.302,5.1675,5.4391,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 40-64,2012,5.3191,5.1846,5.4562,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 40-64,2013,5.1985,5.0656,5.334,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 40-64,2014,5.4063,5.2708,5.5445,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 40-64,2015,5.2239,5.0906,5.3597,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 40-64,2016,5.4207,5.2852,5.5588,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 65-74,2000,16.4898,15.908,17.0874,2000-2006,-1.1449,-2.0714,-0.2095,Trend is Falling,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 65-74,2001,15.3587,14.7974,15.936,2006-2016,0.5857,0.1929,0.98,Trend is Rising,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 65-74,2002,16.0807,15.5059,16.6713,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 65-74,2003,15.3718,14.8111,15.9484,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 65-74,2004,15.5844,15.0213,16.1631,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 65-74,2005,15.6884,15.1259,16.2664,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 65-74,2006,14.5992,14.0606,15.1531,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 65-74,2007,15.345,14.7994,15.9056,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 65-74,2008,15.4409,14.903,15.9931,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 65-74,2009,15.4819,14.9518,16.026,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 65-74,2010,15.2639,14.7449,15.7965,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 65-74,2011,15.3694,14.8553,15.8967,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 65-74,2012,15.6582,15.1555,16.1734,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 65-74,2013,15.5021,15.0129,16.0031,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 65-74,2014,15.9274,15.4431,16.4229,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 65-74,2015,16.0237,15.5473,16.5109,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 65-74,2016,15.9797,15.5126,16.4572,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 75+,2000,19.1396,18.4816,19.815,2000-2016,0.7625,0.4788,1.0471,Trend is Rising,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 75+,2001,19.4325,18.7737,20.1085,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 75+,2002,18.6147,17.9738,19.2726,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 75+,2003,18.5817,17.9456,19.2346,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 75+,2004,19.0731,18.4319,19.7309,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 75+,2005,19.3657,18.7228,20.0249,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 75+,2006,18.691,18.063,19.3352,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 75+,2007,19.2943,18.6581,19.9466,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 75+,2008,19.4505,18.8134,20.1035,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 75+,2009,20.8395,20.1818,21.513,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 75+,2010,20.2249,19.5795,20.8861,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 75+,2011,19.0743,18.4522,19.7119,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 75+,2012,20.465,19.8241,21.1211,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 75+,2013,20.497,19.8603,21.1487,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 75+,2014,20.6359,20.0031,21.2834,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 75+,2015,21.235,20.6002,21.8844,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages 75+,2016,21.2317,20.6027,21.8749,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages < 20,2000,0.6762,0.6206,0.7354,2000-2016,-0.1249,-0.5902,0.3425,Stable,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages < 20,2001,0.6441,0.5899,0.7019,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages < 20,2002,0.7071,0.6503,0.7676,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages < 20,2003,0.7111,0.6542,0.7716,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages < 20,2004,0.6845,0.6287,0.7439,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages < 20,2005,0.67,0.6148,0.7288,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages < 20,2006,0.6431,0.5891,0.7006,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages < 20,2007,0.6367,0.5831,0.6938,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages < 20,2008,0.6472,0.5934,0.7046,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages < 20,2009,0.6312,0.5782,0.6878,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages < 20,2010,0.603,0.5512,0.6584,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages < 20,2011,0.6672,0.6126,0.7254,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages < 20,2012,0.6992,0.6432,0.7587,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages < 20,2013,0.6772,0.6221,0.7359,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages < 20,2014,0.6816,0.6262,0.7405,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages < 20,2015,0.649,0.5949,0.7066,,,,,,Brain and Other Nervous System
Both Sexes,All Races (includes Hispanic),Ages < 20,2016,0.6741,0.6191,0.7328,,,,,,Brain and Other Nervous System
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,2000,2.1874,1.3903,3.2605,2000-2016,0.6855,-1.2063,2.6135,Stable,Brain and Other Nervous System
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,2001,2.1513,1.3707,3.2005,,,,,,Brain and Other Nervous System
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,2002,2.3168,1.5062,3.3908,,,,,,Brain and Other Nervous System
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,2003,2.6393,1.7272,3.8285,,,,,,Brain and Other Nervous System
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,2004,1.6941,1.0281,2.6119,,,,,,Brain and Other Nervous System
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,2005,1.7807,1.1017,2.7042,,,,,,Brain and Other Nervous System
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,2006,1.9698,1.2339,2.9545,,,,,,Brain and Other Nervous System
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,2007,2.5641,1.678,3.7089,,,,,,Brain and Other Nervous System
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,2008,3.5194,2.5228,4.7493,,,,,,Brain and Other Nervous System
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,2009,1.9988,1.3202,2.8866,,,,,,Brain and Other Nervous System
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,2010,2.7288,1.9625,3.6862,,,,,,Brain and Other Nervous System
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,2011,2.1846,1.5443,3.0004,,,,,,Brain and Other Nervous System
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,2012,2.3853,1.69,3.2615,,,,,,Brain and Other Nervous System
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,2013,2.5829,1.8329,3.5197,,,,,,Brain and Other Nervous System
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,2014,2.4904,1.7864,3.3683,,,,,,Brain and Other Nervous System
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,2015,2.6005,1.8637,3.5147,,,,,,Brain and Other Nervous System
Both Sexes,American Indian / Alaska Native (includes Hispanic),All Ages,2016,2.0855,1.473,2.8592,,,,,,Brain and Other Nervous System
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 50,2000,1.6162,0.9889,2.4787,2000-2016,-,-,-,-,Brain and Other Nervous System
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 50,2001,-,-,-,,,,,,Brain and Other Nervous System
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 50,2002,1.1276,0.6344,1.8428,,,,,,Brain and Other Nervous System
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 50,2003,-,-,-,,,,,,Brain and Other Nervous System
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 50,2004,-,-,-,,,,,,Brain and Other Nervous System
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 50,2005,-,-,-,,,,,,Brain and Other Nervous System
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 50,2006,-,-,-,,,,,,Brain and Other Nervous System
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 50,2007,-,-,-,,,,,,Brain and Other Nervous System
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 50,2008,-,-,-,,,,,,Brain and Other Nervous System
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 50,2009,-,-,-,,,,,,Brain and Other Nervous System
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 50,2010,1.1976,0.703,1.889,,,,,,Brain and Other Nervous System
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 50,2011,1.3022,0.8135,1.9709,,,,,,Brain and Other Nervous System
Both Sexes,American Indian / Alaska Native (includes Hispanic),Ages < 50,2012,-,-,-,,,,,,Brain and Other Nervous System
