Sex,Race/Ethnicity,Age,Year,"Age-adjusted (AA) Rate per 100,000",AA Rate Lower Confidence Interval,AA Rate Upper Confidence Interval,Trend Year Range,Annual Percent Change (APC) (%),APC Lower Confidence Interval (%),APC Upper Confidence Interval (%),Trend Direction,Type
Female,All Races (includes Hispanic),All Ages,2000,26.6417,26.3857,26.8995,2000-2008,-2.0741,-2.2147,-1.9332,Trend is Falling,Breast
Female,All Races (includes Hispanic),All Ages,2001,26.0123,25.761,26.2654,2008-2016,-1.5249,-1.6684,-1.3811,Trend is Falling,Breast
Female,All Races (includes Hispanic),All Ages,2002,25.6234,25.3762,25.8724,,,,,,Breast
Female,All Races (includes Hispanic),All Ages,2003,25.274,25.0304,25.5195,,,,,,Breast
Female,All Races (includes Hispanic),All Ages,2004,24.4943,24.2561,24.7343,,,,,,Breast
Female,All Races (includes Hispanic),All Ages,2005,24.1427,23.9081,24.3791,,,,,,Breast
Female,All Races (includes Hispanic),All Ages,2006,23.5567,23.3267,23.7886,,,,,,Breast
Female,All Races (includes Hispanic),All Ages,2007,22.9635,22.7383,23.1906,,,,,,Breast
Female,All Races (includes Hispanic),All Ages,2008,22.5545,22.3328,22.7778,,,,,,Breast
Female,All Races (includes Hispanic),All Ages,2009,22.2428,22.0239,22.4634,,,,,,Breast
Female,All Races (includes Hispanic),All Ages,2010,21.9207,21.7053,22.1377,,,,,,Breast
Female,All Races (includes Hispanic),All Ages,2011,21.5437,21.3315,21.7576,,,,,,Breast
Female,All Races (includes Hispanic),All Ages,2012,21.2652,21.0559,21.4761,,,,,,Breast
Female,All Races (includes Hispanic),All Ages,2013,20.7373,20.5322,20.9439,,,,,,Breast
Female,All Races (includes Hispanic),All Ages,2014,20.5474,20.3447,20.7517,,,,,,Breast
Female,All Races (includes Hispanic),All Ages,2015,20.3087,20.1088,20.5102,,,,,,Breast
Female,All Races (includes Hispanic),All Ages,2016,20.0323,19.8346,20.2316,,,,,,Breast
Female,All Races (includes Hispanic),Ages < 50,2000,5.8866,5.7387,6.0374,2000-2008,-2.8742,-3.4637,-2.281,Trend is Falling,Breast
Female,All Races (includes Hispanic),Ages < 50,2001,5.8639,5.7171,6.0136,2008-2016,-1.2269,-1.8912,-0.5581,Trend is Falling,Breast
Female,All Races (includes Hispanic),Ages < 50,2002,5.6325,5.4893,5.7786,,,,,,Breast
Female,All Races (includes Hispanic),Ages < 50,2003,5.5779,5.4356,5.7229,,,,,,Breast
Female,All Races (includes Hispanic),Ages < 50,2004,5.2112,5.0739,5.3513,,,,,,Breast
Female,All Races (includes Hispanic),Ages < 50,2005,5.2023,5.0653,5.3422,,,,,,Breast
Female,All Races (includes Hispanic),Ages < 50,2006,5.0546,4.9195,5.1925,,,,,,Breast
Female,All Races (includes Hispanic),Ages < 50,2007,4.7709,4.6393,4.9052,,,,,,Breast
Female,All Races (includes Hispanic),Ages < 50,2008,4.7394,4.6078,4.8738,,,,,,Breast
Female,All Races (includes Hispanic),Ages < 50,2009,4.8134,4.6801,4.9495,,,,,,Breast
Female,All Races (includes Hispanic),Ages < 50,2010,4.528,4.3983,4.6606,,,,,,Breast
Female,All Races (includes Hispanic),Ages < 50,2011,4.4684,4.3388,4.6008,,,,,,Breast
Female,All Races (includes Hispanic),Ages < 50,2012,4.5856,4.4541,4.7199,,,,,,Breast
Female,All Races (includes Hispanic),Ages < 50,2013,4.413,4.2833,4.5456,,,,,,Breast
Female,All Races (includes Hispanic),Ages < 50,2014,4.3664,4.2366,4.4991,,,,,,Breast
Female,All Races (includes Hispanic),Ages < 50,2015,4.2658,4.1376,4.397,,,,,,Breast
Female,All Races (includes Hispanic),Ages < 50,2016,4.3804,4.2504,4.5133,,,,,,Breast
Female,All Races (includes Hispanic),Ages 50-64,2000,50.9759,50.0325,51.9326,2000-2004,-1.7713,-2.4771,-1.0604,Trend is Falling,Breast
Female,All Races (includes Hispanic),Ages 50-64,2001,50.2276,49.3069,51.1611,2004-2008,-3.1071,-4.1753,-2.0271,Trend is Falling,Breast
Female,All Races (includes Hispanic),Ages 50-64,2002,48.7731,47.8835,49.675,2008-2016,-1.9497,-2.1868,-1.712,Trend is Falling,Breast
Female,All Races (includes Hispanic),Ages 50-64,2003,48.2916,47.4234,49.1716,,,,,,Breast
Female,All Races (includes Hispanic),Ages 50-64,2004,47.3969,46.5528,48.2525,,,,,,Breast
Female,All Races (includes Hispanic),Ages 50-64,2005,46.0397,45.2229,46.8675,,,,,,Breast
Female,All Races (includes Hispanic),Ages 50-64,2006,44.78,43.9883,45.5823,,,,,,Breast
Female,All Races (includes Hispanic),Ages 50-64,2007,42.8652,42.1048,43.6359,,,,,,Breast
Female,All Races (includes Hispanic),Ages 50-64,2008,41.5961,40.8578,42.3445,,,,,,Breast
Female,All Races (includes Hispanic),Ages 50-64,2009,40.936,40.2139,41.6678,,,,,,Breast
Female,All Races (includes Hispanic),Ages 50-64,2010,40.4958,39.7882,41.2129,,,,,,Breast
Female,All Races (includes Hispanic),Ages 50-64,2011,39.6435,38.952,40.3442,,,,,,Breast
Female,All Races (includes Hispanic),Ages 50-64,2012,38.5098,37.8319,39.1967,,,,,,Breast
Female,All Races (includes Hispanic),Ages 50-64,2013,37.7077,37.0403,38.384,,,,,,Breast
Female,All Races (includes Hispanic),Ages 50-64,2014,36.9435,36.2866,37.6092,,,,,,Breast
Female,All Races (includes Hispanic),Ages 50-64,2015,36.8555,36.2018,37.518,,,,,,Breast
Female,All Races (includes Hispanic),Ages 50-64,2016,35.4626,34.821,36.1129,,,,,,Breast
Female,All Races (includes Hispanic),Ages 65+,2000,116.6057,115.1508,118.0743,2000-2016,-1.4805,-1.5501,-1.4109,Trend is Falling,Breast
Female,All Races (includes Hispanic),Ages 65+,2001,112.6434,111.2157,114.0848,,,,,,Breast
Female,All Races (includes Hispanic),Ages 65+,2002,112.617,111.1939,114.0539,,,,,,Breast
Female,All Races (includes Hispanic),Ages 65+,2003,110.737,109.3303,112.1573,,,,,,Breast
Female,All Races (includes Hispanic),Ages 65+,2004,107.7287,106.3436,109.1274,,,,,,Breast
Female,All Races (includes Hispanic),Ages 65+,2005,106.6082,105.2372,107.9927,,,,,,Breast
Female,All Races (includes Hispanic),Ages 65+,2006,104.3124,102.9625,105.6756,,,,,,Breast
Female,All Races (includes Hispanic),Ages 65+,2007,103.5155,102.1796,104.8644,,,,,,Breast
Female,All Races (includes Hispanic),Ages 65+,2008,101.965,100.6497,103.2931,,,,,,Breast
Female,All Races (includes Hispanic),Ages 65+,2009,99.8585,98.5656,101.1642,,,,,,Breast
Female,All Races (includes Hispanic),Ages 65+,2010,99.4658,98.1867,100.7574,,,,,,Breast
Female,All Races (includes Hispanic),Ages 65+,2011,97.8362,96.5769,99.1079,,,,,,Breast
Female,All Races (includes Hispanic),Ages 65+,2012,96.3067,95.0745,97.5508,,,,,,Breast
Female,All Races (includes Hispanic),Ages 65+,2013,94.0693,92.8678,95.2826,,,,,,Breast
Female,All Races (includes Hispanic),Ages 65+,2014,93.7408,92.5564,94.9365,,,,,,Breast
Female,All Races (includes Hispanic),Ages 65+,2015,92.5325,91.3699,93.7061,,,,,,Breast
Female,All Races (includes Hispanic),Ages 65+,2016,91.3423,90.2004,92.4951,,,,,,Breast
Female,All Races (includes Hispanic),Ages <15,2000,-,-,-,2000-2016,-,-,-,-,Breast
Female,All Races (includes Hispanic),Ages <15,2001,-,-,-,,,,,,Breast
Female,All Races (includes Hispanic),Ages <15,2002,-,-,-,,,,,,Breast
