Sex,Race/Ethnicity,Age,Year,"Age-adjusted (AA) Rate per 100,000",AA Rate Lower Confidence Interval,AA Rate Upper Confidence Interval,Trend Year Range,Annual Percent Change (APC) (%),APC Lower Confidence Interval (%),APC Upper Confidence Interval (%),Trend Direction,Type
Both Sexes,All Races (includes Hispanic),All Ages,2000,4.2161,4.1402,4.2931,2000-2016,-0.9069,-1.0419,-0.7716,Trend is Falling,Kidney
Both Sexes,All Races (includes Hispanic),All Ages,2001,4.2747,4.1988,4.3516,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),All Ages,2002,4.232,4.1571,4.3079,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),All Ages,2003,4.1953,4.1213,4.2703,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),All Ages,2004,4.1316,4.0588,4.2054,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),All Ages,2005,4.1267,4.0545,4.1999,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),All Ages,2006,4.0037,3.9332,4.0753,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),All Ages,2007,4.0207,3.9507,4.0917,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),All Ages,2008,3.9878,3.9187,4.0578,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),All Ages,2009,3.9337,3.8657,4.0027,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),All Ages,2010,3.9245,3.8571,3.9928,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),All Ages,2011,3.941,3.8741,4.0088,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),All Ages,2012,3.8303,3.7651,3.8964,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),All Ages,2013,3.8591,3.7942,3.9247,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),All Ages,2014,3.7522,3.6892,3.8161,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),All Ages,2015,3.8147,3.7517,3.8786,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),All Ages,2016,3.5949,3.5342,3.6564,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages < 50,2000,0.441,0.4125,0.4709,2000-2016,-1.8045,-2.2303,-1.3769,Trend is Falling,Kidney
Both Sexes,All Races (includes Hispanic),Ages < 50,2001,0.4807,0.4511,0.5116,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages < 50,2002,0.4469,0.4186,0.4766,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages < 50,2003,0.4267,0.3992,0.4557,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages < 50,2004,0.4037,0.377,0.4317,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages < 50,2005,0.4106,0.3837,0.4388,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages < 50,2006,0.3957,0.3694,0.4234,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages < 50,2007,0.3896,0.3636,0.4171,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages < 50,2008,0.373,0.3474,0.4,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages < 50,2009,0.3731,0.3474,0.4003,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages < 50,2010,0.3813,0.3552,0.4087,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages < 50,2011,0.3844,0.3582,0.4121,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages < 50,2012,0.3374,0.3127,0.3636,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages < 50,2013,0.3739,0.3477,0.4015,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages < 50,2014,0.342,0.3169,0.3686,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages < 50,2015,0.3518,0.3263,0.3788,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages < 50,2016,0.3513,0.3258,0.3783,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages 50-64,2000,7.0833,6.8314,7.3421,2000-2016,-1.8111,-2.0937,-1.5277,Trend is Falling,Kidney
Both Sexes,All Races (includes Hispanic),Ages 50-64,2001,7.2172,6.967,7.4741,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages 50-64,2002,6.9276,6.6876,7.174,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages 50-64,2003,6.8823,6.648,7.1227,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages 50-64,2004,6.7403,6.5128,6.9737,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages 50-64,2005,6.5219,6.3021,6.7473,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages 50-64,2006,6.0724,5.8643,6.2861,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages 50-64,2007,6.0627,5.8589,6.2717,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages 50-64,2008,6.1296,5.9278,6.3366,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages 50-64,2009,6.2394,6.0389,6.4448,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages 50-64,2010,5.9035,5.7116,6.1002,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages 50-64,2011,5.8445,5.6565,6.0373,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages 50-64,2012,5.6819,5.4972,5.8713,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages 50-64,2013,5.7393,5.5546,5.9285,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages 50-64,2014,5.5874,5.407,5.7723,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages 50-64,2015,5.6904,5.5094,5.876,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages 50-64,2016,5.1144,4.943,5.2904,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages 65+,2000,22.4294,21.9362,22.9308,2000-2016,-0.5118,-0.6619,-0.3615,Trend is Falling,Kidney
Both Sexes,All Races (includes Hispanic),Ages 65+,2001,22.5069,22.0148,23.0072,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages 65+,2002,22.7059,22.2136,23.2065,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages 65+,2003,22.5851,22.0965,23.0817,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages 65+,2004,22.3815,21.8973,22.8737,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages 65+,2005,22.5625,22.0793,23.0537,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages 65+,2006,22.2077,21.7318,22.6914,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages 65+,2007,22.3886,21.9141,22.8707,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages 65+,2008,22.1438,21.6763,22.6187,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages 65+,2009,21.5851,21.1269,22.0507,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages 65+,2010,21.8638,21.4068,22.3281,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages 65+,2011,22.0464,21.5917,22.5083,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages 65+,2012,21.6328,21.1892,22.0833,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages 65+,2013,21.5834,21.1462,22.0273,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages 65+,2014,21.1007,20.6753,21.5327,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages 65+,2015,21.4168,20.993,21.847,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages 65+,2016,20.3638,19.9554,20.7783,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages <15,2000,0.0764,0.0559,0.1019,2000-2016,-3.0672,-4.6167,-1.4926,Trend is Falling,Kidney
Both Sexes,All Races (includes Hispanic),Ages <15,2001,0.097,0.0737,0.1254,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages <15,2002,0.0701,0.0505,0.0948,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages <15,2003,0.0904,0.0679,0.1179,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages <15,2004,0.0853,0.0635,0.1121,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages <15,2005,0.0896,0.0673,0.117,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages <15,2006,0.0721,0.0522,0.0971,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages <15,2007,0.0598,0.0419,0.0828,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages <15,2008,0.0763,0.0558,0.1017,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages <15,2009,0.0624,0.0441,0.0856,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages <15,2010,0.0751,0.0549,0.1001,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages <15,2011,0.0641,0.0456,0.0876,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages <15,2012,0.0489,0.033,0.0698,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages <15,2013,0.0653,0.0467,0.0889,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages <15,2014,0.0393,0.0252,0.0585,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages <15,2015,0.0589,0.0412,0.0815,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages <15,2016,0.0623,0.0441,0.0855,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages 15-39,2000,0.1436,0.1212,0.169,2000-2016,0.6542,0.0074,1.3052,Trend is Rising,Kidney
Both Sexes,All Races (includes Hispanic),Ages 15-39,2001,0.1454,0.1227,0.1709,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages 15-39,2002,0.1607,0.1366,0.1877,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages 15-39,2003,0.1638,0.1394,0.1912,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages 15-39,2004,0.1455,0.1224,0.1715,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages 15-39,2005,0.1502,0.1267,0.1768,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages 15-39,2006,0.1606,0.1363,0.1879,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages 15-39,2007,0.152,0.1286,0.1784,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages 15-39,2008,0.1425,0.1199,0.1681,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages 15-39,2009,0.1582,0.1341,0.1852,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages 15-39,2010,0.1479,0.1246,0.1742,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages 15-39,2011,0.1747,0.1493,0.203,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages 15-39,2012,0.1424,0.1195,0.1682,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages 15-39,2013,0.1609,0.1366,0.1883,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages 15-39,2014,0.1624,0.1383,0.1895,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages 15-39,2015,0.1607,0.1369,0.1875,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages 15-39,2016,0.1763,0.1514,0.2041,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages 40-64,2000,4.3233,4.1848,4.4652,2000-2016,-1.9053,-2.1724,-1.6374,Trend is Falling,Kidney
Both Sexes,All Races (includes Hispanic),Ages 40-64,2001,4.4672,4.3285,4.6092,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages 40-64,2002,4.245,4.1124,4.3809,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages 40-64,2003,4.1566,4.0277,4.2886,,,,,,Kidney
Both Sexes,All Races (includes Hispanic),Ages 40-64,2004,4.0567,3.9315,4.1849,,,,,,Kidney
