Sex,Race/Ethnicity,Age,Year,"Age-adjusted (AA) Rate per 100,000",AA Rate Lower Confidence Interval,AA Rate Upper Confidence Interval,Trend Year Range,Annual Percent Change (APC) (%),APC Lower Confidence Interval (%),APC Upper Confidence Interval (%),Trend Direction,Type
Both Sexes,All Races (includes Hispanic),All Ages,2000,7.6865,7.5838,7.7902,2000-2013,-0.9712,-1.1097,-0.8326,Trend is Falling,Leukemia
Both Sexes,All Races (includes Hispanic),All Ages,2001,7.6374,7.5357,7.7401,2013-2016,-2.73,-3.9987,-1.4445,Trend is Falling,Leukemia
Both Sexes,All Races (includes Hispanic),All Ages,2002,7.5443,7.4439,7.6457,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),All Ages,2003,7.4475,7.3484,7.5476,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),All Ages,2004,7.2941,7.1967,7.3926,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),All Ages,2005,7.2574,7.1609,7.3549,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),All Ages,2006,7.2297,7.1341,7.3263,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),All Ages,2007,7.0772,6.9833,7.172,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),All Ages,2008,7.0875,6.9944,7.1815,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),All Ages,2009,7.0575,6.9651,7.1507,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),All Ages,2010,6.913,6.8224,7.0045,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),All Ages,2011,6.9459,6.8558,7.037,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),All Ages,2012,6.8252,6.7367,6.9145,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),All Ages,2013,6.7541,6.667,6.8422,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),All Ages,2014,6.6152,6.5298,6.7014,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),All Ages,2015,6.2776,6.1952,6.3608,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),All Ages,2016,6.2653,6.1837,6.3476,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),Ages < 50,2000,1.3974,1.3466,1.4497,2000-2016,-2.1521,-2.3745,-1.9292,Trend is Falling,Leukemia
Both Sexes,All Races (includes Hispanic),Ages < 50,2001,1.4195,1.3685,1.4719,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),Ages < 50,2002,1.3346,1.2853,1.3853,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),Ages < 50,2003,1.3185,1.2695,1.3689,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),Ages < 50,2004,1.2394,1.192,1.2883,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),Ages < 50,2005,1.2603,1.2127,1.3094,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),Ages < 50,2006,1.2513,1.2038,1.3002,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),Ages < 50,2007,1.2184,1.1715,1.2667,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),Ages < 50,2008,1.1924,1.1461,1.2402,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),Ages < 50,2009,1.1984,1.1517,1.2465,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),Ages < 50,2010,1.1357,1.0903,1.1825,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),Ages < 50,2011,1.107,1.0622,1.1533,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),Ages < 50,2012,1.0675,1.0234,1.1131,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),Ages < 50,2013,1.0287,0.9852,1.0736,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),Ages < 50,2014,1.0528,1.0088,1.0981,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),Ages < 50,2015,0.9902,0.9476,1.0341,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),Ages < 50,2016,1.0222,0.979,1.0669,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),Ages 50-64,2000,7.6356,7.374,7.9042,2000-2016,-2.3457,-2.56,-2.1308,Trend is Falling,Leukemia
Both Sexes,All Races (includes Hispanic),Ages 50-64,2001,7.8173,7.5567,8.0845,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),Ages 50-64,2002,7.6924,7.4393,7.9519,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),Ages 50-64,2003,7.1685,6.9293,7.4139,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),Ages 50-64,2004,7.1385,6.9044,7.3786,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),Ages 50-64,2005,6.846,6.6209,7.0769,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),Ages 50-64,2006,6.9344,6.7117,7.1625,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),Ages 50-64,2007,6.5226,6.3114,6.7392,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),Ages 50-64,2008,6.7424,6.5307,6.9592,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),Ages 50-64,2009,6.5345,6.3295,6.7444,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),Ages 50-64,2010,6.2611,6.0639,6.463,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),Ages 50-64,2011,6.0685,5.8769,6.2649,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),Ages 50-64,2012,5.9325,5.7442,6.1254,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),Ages 50-64,2013,5.8571,5.671,6.0479,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),Ages 50-64,2014,5.6506,5.4687,5.837,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),Ages 50-64,2015,5.3992,5.2225,5.5805,,,,,,Leukemia
Both Sexes,All Races (includes Hispanic),Ages 50-64,2016,5.3042,5.1295,5.4835,,,,,,Leukemia
