Sex,Race/Ethnicity,Age,Year,"Age-adjusted (AA) Rate per 100,000",AA Rate Lower Confidence Interval,AA Rate Upper Confidence Interval,Trend Year Range,Annual Percent Change (APC) (%),APC Lower Confidence Interval (%),APC Upper Confidence Interval (%),Trend Direction,Type
Both Sexes,All Races (includes Hispanic),All Ages,2000,4.6379,4.5583,4.7186,2000-2004,2.7459,2.1237,3.3718,Trend is Rising,Liver & Intrahepatic Bile Duct
Both Sexes,All Races (includes Hispanic),All Ages,2001,4.7207,4.6409,4.8015,2004-2007,1.5039,-0.2793,3.3189,Stable,Liver & Intrahepatic Bile Duct
Both Sexes,All Races (includes Hispanic),All Ages,2002,4.8821,4.8017,4.9636,2007-2012,3.3355,2.8082,3.8656,Trend is Rising,Liver & Intrahepatic Bile Duct
Both Sexes,All Races (includes Hispanic),All Ages,2003,5.0174,4.9366,5.0993,2012-2016,1.2486,0.788,1.7113,Trend is Rising,Liver & Intrahepatic Bile Duct
Both Sexes,All Races (includes Hispanic),All Ages,2004,5.1255,5.0445,5.2076,,,,,,Liver & Intrahepatic Bile Duct
Both Sexes,All Races (includes Hispanic),All Ages,2005,5.2681,5.1866,5.3505,,,,,,Liver & Intrahepatic Bile Duct
Both Sexes,All Races (includes Hispanic),All Ages,2006,5.2963,5.2154,5.3781,,,,,,Liver & Intrahepatic Bile Duct
Both Sexes,All Races (includes Hispanic),All Ages,2007,5.3731,5.2924,5.4547,,,,,,Liver & Intrahepatic Bile Duct
Both Sexes,All Races (includes Hispanic),All Ages,2008,5.5713,5.4899,5.6535,,,,,,Liver & Intrahepatic Bile Duct
Both Sexes,All Races (includes Hispanic),All Ages,2009,5.7798,5.6978,5.8627,,,,,,Liver & Intrahepatic Bile Duct
Both Sexes,All Races (includes Hispanic),All Ages,2010,5.9084,5.8264,5.9913,,,,,,Liver & Intrahepatic Bile Duct
Both Sexes,All Races (includes Hispanic),All Ages,2011,6.1264,6.0438,6.2099,,,,,,Liver & Intrahepatic Bile Duct
Both Sexes,All Races (includes Hispanic),All Ages,2012,6.3407,6.2577,6.4245,,,,,,Liver & Intrahepatic Bile Duct
Both Sexes,All Races (includes Hispanic),All Ages,2013,6.4697,6.3868,6.5534,,,,,,Liver & Intrahepatic Bile Duct
Both Sexes,All Races (includes Hispanic),All Ages,2014,6.4802,6.3983,6.5629,,,,,,Liver & Intrahepatic Bile Duct
Both Sexes,All Races (includes Hispanic),All Ages,2015,6.5952,6.5134,6.6777,,,,,,Liver & Intrahepatic Bile Duct
Both Sexes,All Races (includes Hispanic),All Ages,2016,6.6635,6.5821,6.7457,,,,,,Liver & Intrahepatic Bile Duct
Both Sexes,All Races (includes Hispanic),Ages < 50,2000,0.6576,0.6228,0.6939,2000-2016,-1.8376,-2.2131,-1.4607,Trend is Falling,Liver & Intrahepatic Bile Duct
Both Sexes,All Races (includes Hispanic),Ages < 50,2001,0.6505,0.6161,0.6863,,,,,,Liver & Intrahepatic Bile Duct
Both Sexes,All Races (includes Hispanic),Ages < 50,2002,0.6362,0.6024,0.6715,,,,,,Liver & Intrahepatic Bile Duct
Both Sexes,All Races (includes Hispanic),Ages < 50,2003,0.6525,0.6185,0.6879,,,,,,Liver & Intrahepatic Bile Duct
Both Sexes,All Races (includes Hispanic),Ages < 50,2004,0.6646,0.6304,0.7001,,,,,,Liver & Intrahepatic Bile Duct
Both Sexes,All Races (includes Hispanic),Ages < 50,2005,0.638,0.6046,0.6728,,,,,,Liver & Intrahepatic Bile Duct
Both Sexes,All Races (includes Hispanic),Ages < 50,2006,0.5794,0.5476,0.6126,,,,,,Liver & Intrahepatic Bile Duct
Both Sexes,All Races (includes Hispanic),Ages < 50,2007,0.6143,0.5814,0.6485,,,,,,Liver & Intrahepatic Bile Duct
Both Sexes,All Races (includes Hispanic),Ages < 50,2008,0.5517,0.5205,0.5842,,,,,,Liver & Intrahepatic Bile Duct
Both Sexes,All Races (includes Hispanic),Ages < 50,2009,0.5799,0.5479,0.6133,,,,,,Liver & Intrahepatic Bile Duct
Both Sexes,All Races (includes Hispanic),Ages < 50,2010,0.5569,0.5254,0.5897,,,,,,Liver & Intrahepatic Bile Duct
Both Sexes,All Races (includes Hispanic),Ages < 50,2011,0.5558,0.5242,0.5888,,,,,,Liver & Intrahepatic Bile Duct
Both Sexes,All Races (includes Hispanic),Ages < 50,2012,0.548,0.5164,0.581,,,,,,Liver & Intrahepatic Bile Duct
Both Sexes,All Races (includes Hispanic),Ages < 50,2013,0.5546,0.5226,0.588,,,,,,Liver & Intrahepatic Bile Duct
Both Sexes,All Races (includes Hispanic),Ages < 50,2014,0.4886,0.4584,0.5202,,,,,,Liver & Intrahepatic Bile Duct
Both Sexes,All Races (includes Hispanic),Ages < 50,2015,0.5112,0.4803,0.5436,,,,,,Liver & Intrahepatic Bile Duct
