Sex,Race/Ethnicity,Age,Year,"Age-adjusted (AA) Rate per 100,000",AA Rate Lower Confidence Interval,AA Rate Upper Confidence Interval,Trend Year Range,Annual Percent Change (APC) (%),APC Lower Confidence Interval (%),APC Upper Confidence Interval (%),Trend Direction,Type
Both Sexes,All Races (includes Hispanic),All Ages,2000,55.8462,55.5689,56.1245,2000-2005,-1.1249,-1.3707,-0.8784,Trend is Falling,Lung & Bronchus
Both Sexes,All Races (includes Hispanic),All Ages,2001,55.319,55.0447,55.5943,2005-2010,-2.1667,-2.5109,-1.8213,Trend is Falling,Lung & Bronchus
Both Sexes,All Races (includes Hispanic),All Ages,2002,55.0017,54.7303,55.2742,2010-2014,-2.8135,-3.3599,-2.264,Trend is Falling,Lung & Bronchus
Both Sexes,All Races (includes Hispanic),All Ages,2003,54.1912,53.9239,54.4595,2014-2016,-4.5025,-5.5946,-3.3977,Trend is Falling,Lung & Bronchus
Both Sexes,All Races (includes Hispanic),All Ages,2004,53.3657,53.1022,53.6302,,,,,,Lung & Bronchus
Both Sexes,All Races (includes Hispanic),All Ages,2005,52.8526,52.5923,53.1138,,,,,,Lung & Bronchus
Both Sexes,All Races (includes Hispanic),All Ages,2006,51.7263,51.4708,51.9828,,,,,,Lung & Bronchus
Both Sexes,All Races (includes Hispanic),All Ages,2007,50.71,50.4591,50.9618,,,,,,Lung & Bronchus
Both Sexes,All Races (includes Hispanic),All Ages,2008,49.5885,49.3427,49.8351,,,,,,Lung & Bronchus
Both Sexes,All Races (includes Hispanic),All Ages,2009,48.4123,48.1716,48.654,,,,,,Lung & Bronchus
Both Sexes,All Races (includes Hispanic),All Ages,2010,47.4179,47.1818,47.6548,,,,,,Lung & Bronchus
Both Sexes,All Races (includes Hispanic),All Ages,2011,46.0028,45.7725,46.234,,,,,,Lung & Bronchus
Both Sexes,All Races (includes Hispanic),All Ages,2012,44.9395,44.7146,45.1652,,,,,,Lung & Bronchus
Both Sexes,All Races (includes Hispanic),All Ages,2013,43.4388,43.2206,43.6579,,,,,,Lung & Bronchus
Both Sexes,All Races (includes Hispanic),All Ages,2014,42.1954,41.9829,42.4088,,,,,,Lung & Bronchus
Both Sexes,All Races (includes Hispanic),All Ages,2015,40.6251,40.4191,40.832,,,,,,Lung & Bronchus
Both Sexes,All Races (includes Hispanic),All Ages,2016,38.4667,38.2684,38.6659,,,,,,Lung & Bronchus
Both Sexes,All Races (includes Hispanic),Ages < 50,2000,3.5597,3.4779,3.643,2000-2005,-1.6179,-1.9011,-1.3338,Trend is Falling,Lung & Bronchus
Both Sexes,All Races (includes Hispanic),Ages < 50,2001,3.5218,3.4411,3.604,2005-2009,-5.2639,-5.9123,-4.611,Trend is Falling,Lung & Bronchus
Both Sexes,All Races (includes Hispanic),Ages < 50,2002,3.4661,3.3866,3.5471,2009-2014,-6.7144,-7.1875,-6.2388,Trend is Falling,Lung & Bronchus
Both Sexes,All Races (includes Hispanic),Ages < 50,2003,3.4418,3.3631,3.522,2014-2016,-9.9661,-11.6935,-8.2049,Trend is Falling,Lung & Bronchus
Both Sexes,All Races (includes Hispanic),Ages < 50,2004,3.3611,3.2836,3.44,,,,,,Lung & Bronchus
Both Sexes,All Races (includes Hispanic),Ages < 50,2005,3.2873,3.2109,3.365,,,,,,Lung & Bronchus
Both Sexes,All Races (includes Hispanic),Ages < 50,2006,3.1184,3.0442,3.1939,,,,,,Lung & Bronchus
Both Sexes,All Races (includes Hispanic),Ages < 50,2007,2.9428,2.8707,3.0163,,,,,,Lung & Bronchus
Both Sexes,All Races (includes Hispanic),Ages < 50,2008,2.7877,2.7175,2.8594,,,,,,Lung & Bronchus
Both Sexes,All Races (includes Hispanic),Ages < 50,2009,2.6979,2.6287,2.7686,,,,,,Lung & Bronchus
Both Sexes,All Races (includes Hispanic),Ages < 50,2010,2.4574,2.3911,2.5252,,,,,,Lung & Bronchus
Both Sexes,All Races (includes Hispanic),Ages < 50,2011,2.2945,2.2301,2.3604,,,,,,Lung & Bronchus
Both Sexes,All Races (includes Hispanic),Ages < 50,2012,2.1707,2.1077,2.2352,,,,,,Lung & Bronchus
Both Sexes,All Races (includes Hispanic),Ages < 50,2013,2.0246,1.9631,2.0874,,,,,,Lung & Bronchus
Both Sexes,All Races (includes Hispanic),Ages < 50,2014,1.8729,1.8134,1.9339,,,,,,Lung & Bronchus
Both Sexes,All Races (includes Hispanic),Ages < 50,2015,1.6826,1.626,1.7406,,,,,,Lung & Bronchus
Both Sexes,All Races (includes Hispanic),Ages < 50,2016,1.5249,1.4711,1.5801,,,,,,Lung & Bronchus
Both Sexes,All Races (includes Hispanic),Ages 50-64,2000,88.8404,87.9422,89.7454,2000-2005,-2.9248,-3.2382,-2.6103,Trend is Falling,Lung & Bronchus
Both Sexes,All Races (includes Hispanic),Ages 50-64,2001,86.4207,85.5486,87.2995,2005-2009,-3.7293,-4.4144,-3.0394,Trend is Falling,Lung & Bronchus
Both Sexes,All Races (includes Hispanic),Ages 50-64,2002,84.6865,83.8421,85.5373,2009-2014,-2.2462,-2.6874,-1.8029,Trend is Falling,Lung & Bronchus
