Sex,Race/Ethnicity,Age,Year,"Age-adjusted (AA) Rate per 100,000",AA Rate Lower Confidence Interval,AA Rate Upper Confidence Interval,Trend Year Range,Annual Percent Change (APC) (%),APC Lower Confidence Interval (%),APC Upper Confidence Interval (%),Trend Direction,Type,,,
Both Sexes,All Races (includes Hispanic),All Ages,2000,8.1692,8.0634,8.2761,2000-2005,-3.336,-3.5917,-3.0796,Trend is Falling,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),All Ages,2001,7.9089,7.8054,8.0134,2005-2016,-2.2602,-2.3417,-2.1787,Trend is Falling,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),All Ages,2002,7.6537,7.5526,7.7558,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),All Ages,2003,7.3818,7.2833,7.4814,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),All Ages,2004,7.0911,6.9951,7.188,,,,,,Non-Hodgkin Lymphoma,,,`
Both Sexes,All Races (includes Hispanic),All Ages,2005,6.9499,6.8556,7.0452,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),All Ages,2006,6.7422,6.6501,6.8353,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),All Ages,2007,6.5895,6.4992,6.6808,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),All Ages,2008,6.413,6.3246,6.5023,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),All Ages,2009,6.2972,6.2103,6.385,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),All Ages,2010,6.1351,6.0501,6.221,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),All Ages,2011,6.0279,5.9443,6.1124,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),All Ages,2012,5.9088,5.827,5.9916,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),All Ages,2013,5.7057,5.6261,5.7862,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),All Ages,2014,5.6526,5.5742,5.7318,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),All Ages,2015,5.4667,5.3904,5.5439,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),All Ages,2016,5.3729,5.298,5.4486,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,2000,0.9866,0.9439,1.0307,2000-2005,-6.0761,-6.875,-5.2703,Trend is Falling,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,2001,0.95,0.9084,0.9931,2005-2016,-3.7769,-4.0817,-3.4712,Trend is Falling,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,2002,0.8788,0.8389,0.9202,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,2003,0.8252,0.7866,0.8652,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,2004,0.7613,0.7243,0.7996,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,2005,0.7227,0.6867,0.7602,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,2006,0.6972,0.6619,0.7338,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,2007,0.6895,0.6544,0.7261,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,2008,0.6463,0.6121,0.6818,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,2009,0.631,0.5972,0.6662,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,2010,0.6074,0.5742,0.642,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,2011,0.5841,0.5514,0.6182,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,2012,0.5405,0.5089,0.5734,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,2013,0.5276,0.4964,0.5602,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,2014,0.5219,0.4908,0.5545,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,2015,0.4955,0.4652,0.5273,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,2016,0.4744,0.4447,0.5054,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,2000,9.9369,9.6381,10.2426,2000-2005,-6.1206,-6.7689,-5.4678,Trend is Falling,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,2001,9.4678,9.1808,9.7614,2005-2016,-3.3942,-3.6077,-3.1801,Trend is Falling,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,2002,8.79,8.5194,9.0671,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,2003,8.2481,7.9913,8.511,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,2004,7.7031,7.4598,7.9524,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,2005,7.3963,7.1624,7.6359,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,2006,7.0642,6.8393,7.2947,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,2007,6.7874,6.5718,7.0083,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,2008,6.4821,6.2747,6.6946,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,2009,6.3649,6.1626,6.5721,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,2010,6.1043,5.9094,6.304,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,2011,5.9246,5.7356,6.1182,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,2012,5.7369,5.5517,5.9267,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,2013,5.367,5.1891,5.5495,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,2014,5.369,5.1922,5.5504,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,2015,5.2013,5.0282,5.3789,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 50-64,2016,5.0313,4.8616,5.2054,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,2000,47.1978,46.4811,47.9228,2000-2006,-2.3118,-2.5505,-2.0726,Trend is Falling,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,2001,45.904,45.2005,46.6158,2006-2016,-1.8829,-1.9956,-1.77,Trend is Falling,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,2002,45.0964,44.4021,45.7988,,,,,,Non-Hodgkin Lymphoma,,,
Both Sexes,All Races (includes Hispanic),Ages 65+,2003,43.8958,43.2146,44.5851,,,,,,Non-Hodgkin Lymphoma,,,
