Sex,Race/Ethnicity,Age,Year,"Age-adjusted (AA) Rate per 100,000",AA Rate Lower Confidence Interval,AA Rate Upper Confidence Interval,Trend Year Range,Annual Percent Change (APC) (%),APC Lower Confidence Interval (%),APC Upper Confidence Interval (%),Trend Direction,Type
Female,All Races (includes Hispanic),All Ages,2000,4.1074,4.0083,4.2084,2000-2008,0.1717,-0.2614,0.6067,Stable,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),All Ages,2001,4.1768,4.0775,4.2779,2008-2016,2.087,1.696,2.4794,Trend is Rising,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),All Ages,2002,4.1687,4.0701,4.2692,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),All Ages,2003,4.1405,4.0429,4.24,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),All Ages,2004,4.1379,4.0409,4.2367,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),All Ages,2005,4.1199,4.0239,4.2177,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),All Ages,2006,4.2283,4.1317,4.3268,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),All Ages,2007,4.1981,4.1025,4.2955,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),All Ages,2008,4.2146,4.1198,4.3111,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),All Ages,2009,4.1746,4.0808,4.2701,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),All Ages,2010,4.4514,4.3553,4.5491,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),All Ages,2011,4.4837,4.3881,4.5809,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),All Ages,2012,4.5126,4.4178,4.609,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),All Ages,2013,4.6443,4.5488,4.7413,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),All Ages,2014,4.7199,4.6249,4.8165,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),All Ages,2015,4.7961,4.7012,4.8926,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),All Ages,2016,5.0001,4.9039,5.0977,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages < 50,2000,0.3503,0.3149,0.3885,2000-2016,2.1584,1.5448,2.7757,Trend is Rising,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages < 50,2001,0.3561,0.3206,0.3943,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages < 50,2002,0.3418,0.3073,0.3791,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages < 50,2003,0.3377,0.3035,0.3748,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages < 50,2004,0.3764,0.3403,0.4154,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages < 50,2005,0.3563,0.3213,0.3941,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages < 50,2006,0.3684,0.3329,0.4068,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages < 50,2007,0.3883,0.3515,0.4279,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages < 50,2008,0.3821,0.3457,0.4214,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages < 50,2009,0.3791,0.3425,0.4185,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages < 50,2010,0.4014,0.3636,0.4421,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages < 50,2011,0.4322,0.3929,0.4743,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages < 50,2012,0.3962,0.3583,0.4369,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages < 50,2013,0.4826,0.4406,0.5276,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages < 50,2014,0.4168,0.3775,0.459,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages < 50,2015,0.4419,0.4015,0.4853,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages < 50,2016,0.5096,0.4661,0.5559,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 50-64,2000,6.589,6.2529,6.9384,2000-2007,0.6617,-0.1405,1.4704,Stable,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 50-64,2001,6.5607,6.2305,6.9038,2007-2016,2.3388,1.8825,2.7972,Trend is Rising,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 50-64,2002,6.6973,6.3705,7.0365,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 50-64,2003,6.7837,6.4615,7.1179,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 50-64,2004,6.4289,6.1214,6.748,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 50-64,2005,6.8851,6.5727,7.2085,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 50-64,2006,6.9108,6.6031,7.2292,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 50-64,2007,6.817,6.5178,7.1264,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 50-64,2008,7.0575,6.7577,7.3673,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 50-64,2009,7.0347,6.7397,7.3394,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 50-64,2010,7.4113,7.1138,7.7182,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 50-64,2011,7.6299,7.3327,7.9362,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 50-64,2012,7.7221,7.4244,8.0286,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 50-64,2013,7.846,7.548,8.1528,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 50-64,2014,8.1865,7.8838,8.4979,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 50-64,2015,8.2823,7.9795,8.5939,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 50-64,2016,8.3471,8.0441,8.6588,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 65+,2000,22.6752,22.0348,23.3296,2000-2009,-0.0015,-0.3888,0.3873,Stable,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 65+,2001,23.2247,22.5781,23.8851,2009-2016,2.0641,1.5475,2.5833,Trend is Rising,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 65+,2002,23.0805,22.4364,23.7384,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 65+,2003,22.7783,22.1395,23.4308,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 65+,2004,22.9567,22.317,23.6101,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 65+,2005,22.3883,21.7598,23.0303,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 65+,2006,23.1462,22.5087,23.7972,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 65+,2007,22.9048,22.2736,23.5494,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 65+,2008,22.7853,22.162,23.4217,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 65+,2009,22.5133,21.8963,23.1432,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 65+,2010,24.1283,23.4941,24.7752,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 65+,2011,23.9481,23.3213,24.5875,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 65+,2012,24.2739,23.6521,24.9079,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 65+,2013,24.6736,24.0547,25.3044,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 65+,2014,25.2452,24.6276,25.8743,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 65+,2015,25.5907,24.9765,26.2162,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 65+,2016,26.7401,26.1208,27.3703,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages <15,2000,-,-,-,2000-2016,-,-,-,-,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages <15,2001,-,-,-,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages <15,2002,-,-,-,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages <15,2003,-,-,-,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages <15,2004,-,-,-,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages <15,2005,-,-,-,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages <15,2006,-,-,-,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages <15,2007,-,-,-,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages <15,2008,-,-,-,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages <15,2009,-,-,-,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages <15,2010,-,-,-,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages <15,2011,-,-,-,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages <15,2012,-,-,-,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages <15,2013,-,-,-,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages <15,2014,-,-,-,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages <15,2015,-,-,-,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages <15,2016,-,-,-,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 15-39,2000,0.141,0.1101,0.1779,2000-2016,2.9508,1.6814,4.2361,Trend is Rising,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 15-39,2001,0.1701,0.1359,0.2103,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 15-39,2002,0.1408,0.1096,0.1782,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 15-39,2003,0.1395,0.1083,0.1768,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 15-39,2004,0.1599,0.1259,0.2,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 15-39,2005,0.1691,0.134,0.2103,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 15-39,2006,0.1575,0.1238,0.1973,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 15-39,2007,0.1998,0.1616,0.2441,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 15-39,2008,0.1769,0.1412,0.2187,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 15-39,2009,0.1459,0.1134,0.1845,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 15-39,2010,0.1878,0.1505,0.2313,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 15-39,2011,0.1654,0.1303,0.2066,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 15-39,2012,0.2356,0.1938,0.2836,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 15-39,2013,0.2287,0.1872,0.2764,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 15-39,2014,0.1782,0.1423,0.2202,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 15-39,2015,0.2176,0.1781,0.2631,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 15-39,2016,0.2423,0.2008,0.2897,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 40-64,2000,3.9204,3.7376,4.1098,2000-2007,0.6806,-0.0481,1.4145,Stable,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 40-64,2001,3.8862,3.7069,4.072,2007-2016,2.3974,1.9702,2.8264,Trend is Rising,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 40-64,2002,3.9538,3.7762,4.1376,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 40-64,2003,3.9884,3.8132,4.1696,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 40-64,2004,3.8817,3.7116,4.0577,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 40-64,2005,4.0481,3.8775,4.2244,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 40-64,2006,4.1009,3.9313,4.276,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 40-64,2007,4.0548,3.8888,4.2262,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 40-64,2008,4.1855,4.0188,4.3574,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 40-64,2009,4.2032,4.0376,4.3741,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 40-64,2010,4.3933,4.2264,4.5653,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 40-64,2011,4.6006,4.4312,4.7749,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 40-64,2012,4.4782,4.3128,4.6487,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 40-64,2013,4.7533,4.5818,4.9298,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 40-64,2014,4.8235,4.6521,5,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 40-64,2015,4.8846,4.7126,5.0616,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 40-64,2016,5.0488,4.8732,5.2294,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 65-74,2000,17.6341,16.8244,18.4727,2000-2009,0.7818,0.231,1.3356,Trend is Rising,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 65-74,2001,17.7249,16.9117,18.567,2009-2016,2.9262,2.2497,3.6073,Trend is Rising,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 65-74,2002,18.3012,17.4733,19.1582,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 65-74,2003,18.4355,17.6051,19.2949,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 65-74,2004,18.4111,17.5827,19.2685,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 65-74,2005,17.7861,16.9752,18.6258,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 65-74,2006,18.435,17.6138,19.2846,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 65-74,2007,19.1595,18.3316,20.0151,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 65-74,2008,18.6509,17.8461,19.4825,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 65-74,2009,18.7673,17.9732,19.5875,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 65-74,2010,20.0512,19.2403,20.8875,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 65-74,2011,20.016,19.2161,20.8407,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 65-74,2012,20.7569,19.9644,21.5728,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 65-74,2013,21.3413,20.5572,22.1475,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 65-74,2014,22.2831,21.4996,23.0878,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 65-74,2015,22.0755,21.3127,22.8586,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 65-74,2016,23.4734,22.7016,24.2646,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 75+,2000,28.1913,27.1897,29.2204,2000-2009,-0.5595,-1.1011,-0.015,Trend is Falling,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 75+,2001,29.2427,28.2272,30.2853,2009-2016,1.3639,0.5951,2.1385,Trend is Rising,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 75+,2002,28.3102,27.3161,29.3311,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 75+,2003,27.5302,26.554,28.5332,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 75+,2004,27.9306,26.9495,28.9381,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 75+,2005,27.4241,26.4574,28.417,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 75+,2006,28.3013,27.3193,29.3095,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 75+,2007,27.0031,26.0455,27.9867,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 75+,2008,27.3093,26.3507,28.2938,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 75+,2009,26.6122,25.6609,27.5895,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 75+,2010,28.5896,27.6062,29.5988,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 75+,2011,28.2507,27.2772,29.2499,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 75+,2012,28.1222,27.1554,29.1145,,,,,,"Corpus & Uterus, NOS"
Female,All Races (includes Hispanic),Ages 75+,2013,28.3199,27.3527,29.3124,,,,,,"Corpus & Uterus, NOS"
