Sex,Race/Ethnicity,Age,Year,"Age-adjusted (AA) Rate per 100,000",AA Rate Lower Confidence Interval,AA Rate Upper Confidence Interval,Trend Year Range,Annual Percent Change (APC) (%),APC Lower Confidence Interval (%),APC Upper Confidence Interval (%),Trend Direction,Type
Both Sexes,All Races (includes Hispanic),All Ages,2000,2.6884,2.6278,2.75,2000-2009,-1.3884,-1.8173,-0.9577,Trend is Falling,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),All Ages,2001,2.7191,2.6587,2.7806,2009-2016,0.8207,0.225,1.42,Trend is Rising,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),All Ages,2002,2.6798,2.6204,2.7403,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),All Ages,2003,2.6402,2.5817,2.6996,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),All Ages,2004,2.609,2.5513,2.6676,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),All Ages,2005,2.5321,2.4759,2.5892,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),All Ages,2006,2.4752,2.42,2.5313,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),All Ages,2007,2.5224,2.4673,2.5785,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),All Ages,2008,2.4513,2.3974,2.506,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),All Ages,2009,2.3695,2.3171,2.4229,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),All Ages,2010,2.4702,2.4173,2.5241,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),All Ages,2011,2.4735,2.4209,2.5269,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),All Ages,2012,2.4919,2.4397,2.545,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),All Ages,2013,2.4111,2.3603,2.4627,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),All Ages,2014,2.5086,2.4573,2.5607,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),All Ages,2015,2.528,2.4772,2.5796,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),All Ages,2016,2.5868,2.5358,2.6386,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages < 50,2000,0.3856,0.359,0.4136,2000-2016,-1.9969,-2.379,-1.6132,Trend is Falling,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages < 50,2001,0.3887,0.3622,0.4166,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages < 50,2002,0.3743,0.3485,0.4015,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages < 50,2003,0.3894,0.3631,0.417,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages < 50,2004,0.3664,0.341,0.3931,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages < 50,2005,0.3585,0.3335,0.3849,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages < 50,2006,0.3508,0.326,0.377,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages < 50,2007,0.3319,0.3078,0.3574,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages < 50,2008,0.3382,0.3138,0.3639,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages < 50,2009,0.3,0.277,0.3244,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages < 50,2010,0.3157,0.2919,0.3409,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages < 50,2011,0.3136,0.29,0.3387,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages < 50,2012,0.3348,0.3101,0.3609,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages < 50,2013,0.3073,0.2836,0.3324,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages < 50,2014,0.3039,0.2802,0.329,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages < 50,2015,0.282,0.2592,0.3062,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages < 50,2016,0.2826,0.2598,0.3069,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages 50-64,2000,5.4629,5.242,5.6907,2000-2009,-1.6918,-2.2817,-1.0983,Trend is Falling,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages 50-64,2001,5.4858,5.2679,5.7103,2009-2016,1.1942,0.4042,1.9904,Trend is Rising,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages 50-64,2002,5.4567,5.244,5.6758,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages 50-64,2003,5.308,5.1024,5.5198,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages 50-64,2004,5.1401,4.9413,5.3447,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages 50-64,2005,5.147,4.9521,5.3477,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages 50-64,2006,4.7821,4.5973,4.9723,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages 50-64,2007,5.0212,4.8355,5.2123,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages 50-64,2008,4.8115,4.6324,4.9959,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages 50-64,2009,4.6286,4.4558,4.8065,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages 50-64,2010,4.99,4.813,5.1719,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages 50-64,2011,4.9378,4.7641,5.1161,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages 50-64,2012,4.9744,4.801,5.1525,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages 50-64,2013,4.8586,4.6884,5.0333,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages 50-64,2014,5.0085,4.8367,5.1848,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages 50-64,2015,5.0799,4.9082,5.256,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages 50-64,2016,5.2272,5.0533,5.4056,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages 65+,2000,12.5813,12.2127,12.9583,2000-2013,-0.6332,-0.9117,-0.3539,Trend is Falling,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages 65+,2001,12.7798,12.4096,13.1583,2013-2016,3.1379,0.6701,5.6662,Trend is Rising,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages 65+,2002,12.586,12.2198,12.9603,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages 65+,2003,12.3622,12.0012,12.7313,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages 65+,2004,12.4464,12.0859,12.8149,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages 65+,2005,11.8745,11.5247,12.2322,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages 65+,2006,11.9015,11.5532,12.2576,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages 65+,2007,12.0997,11.7514,12.4557,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages 65+,2008,11.7497,11.4101,12.0968,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages 65+,2009,11.5384,11.2045,11.8798,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages 65+,2010,11.8168,11.4825,12.1584,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages 65+,2011,11.9161,11.583,12.2564,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages 65+,2012,11.8976,11.5702,12.232,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages 65+,2013,11.5524,11.2346,11.877,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages 65+,2014,12.166,11.8441,12.4944,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages 65+,2015,12.36,12.0407,12.6857,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages 65+,2016,12.647,12.3277,12.9724,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages <15,2000,-,-,-,2000-2016,-,-,-,-,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages <15,2001,-,-,-,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages <15,2002,-,-,-,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages <15,2003,-,-,-,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages <15,2004,-,-,-,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages <15,2005,-,-,-,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages <15,2006,-,-,-,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages <15,2007,-,-,-,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages <15,2008,-,-,-,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages <15,2009,-,-,-,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages <15,2010,-,-,-,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages <15,2011,-,-,-,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages <15,2012,-,-,-,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages <15,2013,-,-,-,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages <15,2014,-,-,-,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages <15,2015,-,-,-,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages <15,2016,-,-,-,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages 15-39,2000,0.1622,0.1383,0.189,2000-2016,-1.1468,-2.0426,-0.2429,Trend is Falling,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages 15-39,2001,0.1773,0.1522,0.2054,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages 15-39,2002,0.1579,0.1341,0.1846,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages 15-39,2003,0.154,0.1305,0.1805,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages 15-39,2004,0.1245,0.1033,0.1487,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages 15-39,2005,0.1549,0.1311,0.1817,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages 15-39,2006,0.1347,0.1125,0.1599,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages 15-39,2007,0.135,0.1128,0.1602,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages 15-39,2008,0.1422,0.1195,0.1679,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages 15-39,2009,0.1345,0.1124,0.1595,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages 15-39,2010,0.1536,0.1298,0.1804,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages 15-39,2011,0.1351,0.1128,0.1603,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages 15-39,2012,0.149,0.1255,0.1756,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages 15-39,2013,0.1305,0.1088,0.1553,,,,,,Oral Cavity & Pharynx
Both Sexes,All Races (includes Hispanic),Ages 15-39,2014,0.1434,0.1206,0.1692,,,,,,Oral Cavity & Pharynx
