Sex,Race/Ethnicity,Age,Year,"Age-adjusted (AA) Rate per 100,000",AA Rate Lower Confidence Interval,AA Rate Upper Confidence Interval,Trend Year Range,Annual Percent Change (APC) (%),APC Lower Confidence Interval (%),APC Upper Confidence Interval (%),Trend Direction,Type
Female,All Races (includes Hispanic),All Ages,2000,8.8903,8.7433,9.0392,2000-2004,-0.3117,-1.2491,0.6346,Stable,Ovary
Female,All Races (includes Hispanic),All Ages,2001,9.0029,8.8558,9.1518,2004-2016,-2.3102,-2.4839,-2.1361,Trend is Falling,Ovary
Female,All Races (includes Hispanic),All Ages,2002,9.0363,8.89,9.1844,,,,,,Ovary
Female,All Races (includes Hispanic),All Ages,2003,8.8676,8.7239,9.0131,,,,,,Ovary
Female,All Races (includes Hispanic),All Ages,2004,8.7842,8.6421,8.9282,,,,,,Ovary
Female,All Races (includes Hispanic),All Ages,2005,8.6613,8.5213,8.8031,,,,,,Ovary
Female,All Races (includes Hispanic),All Ages,2006,8.5649,8.4267,8.705,,,,,,Ovary
Female,All Races (includes Hispanic),All Ages,2007,8.253,8.1185,8.3892,,,,,,Ovary
Female,All Races (includes Hispanic),All Ages,2008,7.9768,7.8454,8.1098,,,,,,Ovary
Female,All Races (includes Hispanic),All Ages,2009,7.8509,7.7217,7.9817,,,,,,Ovary
Female,All Races (includes Hispanic),All Ages,2010,7.8,7.672,7.9296,,,,,,Ovary
Female,All Races (includes Hispanic),All Ages,2011,7.5356,7.4108,7.6621,,,,,,Ovary
Female,All Races (includes Hispanic),All Ages,2012,7.3971,7.2747,7.5212,,,,,,Ovary
Female,All Races (includes Hispanic),All Ages,2013,7.1983,7.0786,7.3196,,,,,,Ovary
Female,All Races (includes Hispanic),All Ages,2014,7.0183,6.9011,7.1371,,,,,,Ovary
Female,All Races (includes Hispanic),All Ages,2015,6.7378,6.6241,6.8532,,,,,,Ovary
Female,All Races (includes Hispanic),All Ages,2016,6.7621,6.649,6.8768,,,,,,Ovary
Female,All Races (includes Hispanic),Ages < 50,2000,1.1883,1.1224,1.2571,2000-2016,-2.2558,-2.6482,-1.8619,Trend is Falling,Ovary
Female,All Races (includes Hispanic),Ages < 50,2001,1.1654,1.1006,1.2331,,,,,,Ovary
Female,All Races (includes Hispanic),Ages < 50,2002,1.2342,1.1678,1.3033,,,,,,Ovary
Female,All Races (includes Hispanic),Ages < 50,2003,1.1305,1.0672,1.1965,,,,,,Ovary
Female,All Races (includes Hispanic),Ages < 50,2004,1.1515,1.0878,1.218,,,,,,Ovary
Female,All Races (includes Hispanic),Ages < 50,2005,1.0676,1.0065,1.1314,,,,,,Ovary
Female,All Races (includes Hispanic),Ages < 50,2006,1.0582,0.9973,1.1218,,,,,,Ovary
Female,All Races (includes Hispanic),Ages < 50,2007,0.9455,0.8879,1.0058,,,,,,Ovary
Female,All Races (includes Hispanic),Ages < 50,2008,0.9773,0.9184,1.039,,,,,,Ovary
Female,All Races (includes Hispanic),Ages < 50,2009,0.9545,0.8963,1.0155,,,,,,Ovary
Female,All Races (includes Hispanic),Ages < 50,2010,0.9714,0.9125,1.0332,,,,,,Ovary
Female,All Races (includes Hispanic),Ages < 50,2011,0.9341,0.8758,0.9952,,,,,,Ovary
Female,All Races (includes Hispanic),Ages < 50,2012,0.9193,0.8614,0.98,,,,,,Ovary
Female,All Races (includes Hispanic),Ages < 50,2013,0.8674,0.811,0.9268,,,,,,Ovary
Female,All Races (includes Hispanic),Ages < 50,2014,0.9129,0.8546,0.9742,,,,,,Ovary
Female,All Races (includes Hispanic),Ages < 50,2015,0.8551,0.7987,0.9145,,,,,,Ovary
Female,All Races (includes Hispanic),Ages < 50,2016,0.8807,0.8234,0.9409,,,,,,Ovary
Female,All Races (includes Hispanic),Ages 50-64,2000,15.6275,15.1073,16.161,2000-2002,1.8382,-5.0665,9.2452,Stable,Ovary
Female,All Races (includes Hispanic),Ages 50-64,2001,16.0908,15.5714,16.6231,2002-2016,-2.749,-3.0541,-2.4429,Trend is Falling,Ovary
Female,All Races (includes Hispanic),Ages 50-64,2002,16.076,15.5673,16.5972,,,,,,Ovary
