Sex,Race/Ethnicity,Age,Year,"Age-adjusted (AA) Rate per 100,000",AA Rate Lower Confidence Interval,AA Rate Upper Confidence Interval,Trend Year Range,Annual Percent Change (APC) (%),APC Lower Confidence Interval (%),APC Upper Confidence Interval (%),Trend Direction,Type
Both Sexes,All Races (includes Hispanic),All Ages,2000,10.547,10.4266,10.6684,2000-2016,0.2688,0.1832,0.3545,Trend is Rising,Pancreas
Both Sexes,All Races (includes Hispanic),All Ages,2001,10.5683,10.4487,10.689,,,,,,Pancreas
Both Sexes,All Races (includes Hispanic),All Ages,2002,10.5601,10.4414,10.6799,,,,,,Pancreas
Both Sexes,All Races (includes Hispanic),All Ages,2003,10.5476,10.4299,10.6663,,,,,,Pancreas
Both Sexes,All Races (includes Hispanic),All Ages,2004,10.7047,10.587,10.8233,,,,,,Pancreas
Both Sexes,All Races (includes Hispanic),All Ages,2005,10.8302,10.7128,10.9486,,,,,,Pancreas
Both Sexes,All Races (includes Hispanic),All Ages,2006,10.8562,10.7396,10.9737,,,,,,Pancreas
Both Sexes,All Races (includes Hispanic),All Ages,2007,10.842,10.7266,10.9585,,,,,,Pancreas
Both Sexes,All Races (includes Hispanic),All Ages,2008,10.964,10.8489,11.08,,,,,,Pancreas
Both Sexes,All Races (includes Hispanic),All Ages,2009,10.838,10.7247,10.9523,,,,,,Pancreas
Both Sexes,All Races (includes Hispanic),All Ages,2010,10.9814,10.8683,11.0954,,,,,,Pancreas
Both Sexes,All Races (includes Hispanic),All Ages,2011,10.8804,10.7689,10.9928,,,,,,Pancreas
Both Sexes,All Races (includes Hispanic),All Ages,2012,11.0078,10.8971,11.1195,,,,,,Pancreas
Both Sexes,All Races (includes Hispanic),All Ages,2013,10.8153,10.7067,10.9247,,,,,,Pancreas
Both Sexes,All Races (includes Hispanic),All Ages,2014,10.9227,10.8149,11.0314,,,,,,Pancreas
Both Sexes,All Races (includes Hispanic),All Ages,2015,10.9972,10.8901,11.1051,,,,,,Pancreas
Both Sexes,All Races (includes Hispanic),All Ages,2016,11.0491,10.9428,11.1562,,,,,,Pancreas
Both Sexes,All Races (includes Hispanic),Ages < 50,2000,0.7154,0.679,0.7533,2000-2016,-0.6502,-0.9606,-0.3387,Trend is Falling,Pancreas
Both Sexes,All Races (includes Hispanic),Ages < 50,2001,0.7152,0.6791,0.7528,,,,,,Pancreas
Both Sexes,All Races (includes Hispanic),Ages < 50,2002,0.7366,0.7002,0.7745,,,,,,Pancreas
Both Sexes,All Races (includes Hispanic),Ages < 50,2003,0.7179,0.6821,0.7551,,,,,,Pancreas
Both Sexes,All Races (includes Hispanic),Ages < 50,2004,0.7153,0.6797,0.7522,,,,,,Pancreas
Both Sexes,All Races (includes Hispanic),Ages < 50,2005,0.7656,0.7289,0.8037,,,,,,Pancreas
Both Sexes,All Races (includes Hispanic),Ages < 50,2006,0.7226,0.687,0.7596,,,,,,Pancreas
Both Sexes,All Races (includes Hispanic),Ages < 50,2007,0.7148,0.6793,0.7518,,,,,,Pancreas
Both Sexes,All Races (includes Hispanic),Ages < 50,2008,0.7278,0.6919,0.7651,,,,,,Pancreas
Both Sexes,All Races (includes Hispanic),Ages < 50,2009,0.6938,0.6585,0.7304,,,,,,Pancreas
Both Sexes,All Races (includes Hispanic),Ages < 50,2010,0.7109,0.6751,0.748,,,,,,Pancreas
Both Sexes,All Races (includes Hispanic),Ages < 50,2011,0.6562,0.6217,0.6921,,,,,,Pancreas
Both Sexes,All Races (includes Hispanic),Ages < 50,2012,0.6678,0.6328,0.7042,,,,,,Pancreas
Both Sexes,All Races (includes Hispanic),Ages < 50,2013,0.6725,0.6371,0.7093,,,,,,Pancreas
Both Sexes,All Races (includes Hispanic),Ages < 50,2014,0.6638,0.6285,0.7006,,,,,,Pancreas
Both Sexes,All Races (includes Hispanic),Ages < 50,2015,0.6711,0.6355,0.7082,,,,,,Pancreas
Both Sexes,All Races (includes Hispanic),Ages < 50,2016,0.6752,0.6394,0.7125,,,,,,Pancreas
Both Sexes,All Races (includes Hispanic),Ages 50-64,2000,14.8063,14.441,15.1784,2000-2016,0.225,0.0747,0.3754,Trend is Rising,Pancreas
Both Sexes,All Races (includes Hispanic),Ages 50-64,2001,14.8163,14.4567,15.1825,,,,,,Pancreas
