Sex,Race/Ethnicity,Age,Year,"Age-adjusted (AA) Rate per 100,000",AA Rate Lower Confidence Interval,AA Rate Upper Confidence Interval,Trend Year Range,Annual Percent Change (APC) (%),APC Lower Confidence Interval (%),APC Upper Confidence Interval (%),Trend Direction,Type
Male,All Races (includes Hispanic),All Ages,2000,30.3936,30.0505,30.7393,2000-2013,-3.4862,-3.6804,-3.2916,Trend is Falling,Prostate
Male,All Races (includes Hispanic),All Ages,2001,29.5163,29.1814,29.8539,2013-2016,-0.0495,-1.9469,1.8846,Stable,Prostate
Male,All Races (includes Hispanic),All Ages,2002,28.7083,28.3812,29.038,,,,,,Prostate
Male,All Races (includes Hispanic),All Ages,2003,27.1863,26.8723,27.5029,,,,,,Prostate
Male,All Races (includes Hispanic),All Ages,2004,26.1859,25.8808,26.4935,,,,,,Prostate
Male,All Races (includes Hispanic),All Ages,2005,25.4012,25.1052,25.6997,,,,,,Prostate
Male,All Races (includes Hispanic),All Ages,2006,24.2448,23.9601,24.532,,,,,,Prostate
Male,All Races (includes Hispanic),All Ages,2007,24.2336,23.9528,24.5168,,,,,,Prostate
Male,All Races (includes Hispanic),All Ages,2008,23.0068,22.7372,23.2787,,,,,,Prostate
Male,All Races (includes Hispanic),All Ages,2009,22.1248,21.8638,22.3881,,,,,,Prostate
Male,All Races (includes Hispanic),All Ages,2010,21.8094,21.5542,22.0669,,,,,,Prostate
Male,All Races (includes Hispanic),All Ages,2011,20.7848,20.5389,21.0328,,,,,,Prostate
Male,All Races (includes Hispanic),All Ages,2012,19.5607,19.3261,19.7973,,,,,,Prostate
Male,All Races (includes Hispanic),All Ages,2013,19.2627,19.0334,19.494,,,,,,Prostate
Male,All Races (includes Hispanic),All Ages,2014,19.1048,18.8798,19.3317,,,,,,Prostate
Male,All Races (includes Hispanic),All Ages,2015,18.9333,18.7122,19.1563,,,,,,Prostate
Male,All Races (includes Hispanic),All Ages,2016,19.3875,19.1667,19.6101,,,,,,Prostate
Male,All Races (includes Hispanic),Ages < 50,2000,0.1342,0.1125,0.1589,2000-2016,-1.4108,-2.4835,-0.3264,Trend is Falling,Prostate
Male,All Races (includes Hispanic),Ages < 50,2001,0.1286,0.1076,0.1526,,,,,,Prostate
Male,All Races (includes Hispanic),Ages < 50,2002,0.1101,0.0908,0.1323,,,,,,Prostate
Male,All Races (includes Hispanic),Ages < 50,2003,0.1201,0.1001,0.1429,,,,,,Prostate
Male,All Races (includes Hispanic),Ages < 50,2004,0.1211,0.1012,0.1438,,,,,,Prostate
Male,All Races (includes Hispanic),Ages < 50,2005,0.1127,0.0936,0.1347,,,,,,Prostate
Male,All Races (includes Hispanic),Ages < 50,2006,0.1302,0.1095,0.1537,,,,,,Prostate
Male,All Races (includes Hispanic),Ages < 50,2007,0.1081,0.0894,0.1296,,,,,,Prostate
Male,All Races (includes Hispanic),Ages < 50,2008,0.1121,0.0931,0.134,,,,,,Prostate
Male,All Races (includes Hispanic),Ages < 50,2009,0.101,0.0829,0.1218,,,,,,Prostate
