Sex,Race/Ethnicity,Age,Year,"Age-adjusted (AA) Rate per 100,000",AA Rate Lower Confidence Interval,AA Rate Upper Confidence Interval,Trend Year Range,Annual Percent Change (APC) (%),APC Lower Confidence Interval (%),APC Upper Confidence Interval (%),Trend Direction,Type
Both Sexes,All Races (includes Hispanic),All Ages,2000,2.6605,2.6003,2.7218,2000-2009,0.5268,0.1372,0.9178,Trend is Rising,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),All Ages,2001,2.6632,2.6034,2.724,2009-2014,-1.159,-2.3987,0.0965,Stable,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),All Ages,2002,2.6106,2.5519,2.6704,2014-2016,-8.4723,-12.2207,-4.5638,Trend is Falling,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),All Ages,2003,2.6664,2.6075,2.7263,,,,,,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),All Ages,2004,2.6703,2.6117,2.7298,,,,,,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),All Ages,2005,2.7564,2.6973,2.8164,,,,,,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),All Ages,2006,2.7361,2.6778,2.7955,,,,,,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),All Ages,2007,2.6832,2.6259,2.7414,,,,,,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),All Ages,2008,2.686,2.6291,2.7438,,,,,,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),All Ages,2009,2.8137,2.7558,2.8724,,,,,,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),All Ages,2010,2.7418,2.6852,2.7993,,,,,,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),All Ages,2011,2.6925,2.6367,2.7491,,,,,,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),All Ages,2012,2.6601,2.6054,2.7158,,,,,,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),All Ages,2013,2.6632,2.6087,2.7185,,,,,,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),All Ages,2014,2.5708,2.518,2.6245,,,,,,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),All Ages,2015,2.4084,2.3576,2.46,,,,,,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),All Ages,2016,2.1691,2.1215,2.2176,,,,,,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),Ages < 50,2000,0.6837,0.6482,0.7207,2000-2013,-2.3016,-2.8455,-1.7547,Trend is Falling,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),Ages < 50,2001,0.6754,0.6402,0.7119,2013-2016,-7.6514,-13.3353,-1.5948,Trend is Falling,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),Ages < 50,2002,0.6478,0.6136,0.6835,,,,,,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),Ages < 50,2003,0.6412,0.6073,0.6767,,,,,,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),Ages < 50,2004,0.6103,0.5772,0.6449,,,,,,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),Ages < 50,2005,0.6132,0.58,0.6477,,,,,,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),Ages < 50,2006,0.599,0.5662,0.6332,,,,,,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),Ages < 50,2007,0.5629,0.5311,0.5961,,,,,,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),Ages < 50,2008,0.5349,0.5039,0.5674,,,,,,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),Ages < 50,2009,0.6028,0.5696,0.6375,,,,,,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),Ages < 50,2010,0.5389,0.5074,0.5717,,,,,,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),Ages < 50,2011,0.5172,0.4863,0.5496,,,,,,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),Ages < 50,2012,0.4935,0.4632,0.5252,,,,,,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),Ages < 50,2013,0.5237,0.4924,0.5566,,,,,,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),Ages < 50,2014,0.4639,0.4343,0.4949,,,,,,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),Ages < 50,2015,0.4402,0.4113,0.4705,,,,,,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),Ages < 50,2016,0.3911,0.364,0.4196,,,,,,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),Ages 50-64,2000,4.6673,4.4634,4.8782,2000-2009,-0.8219,-1.4165,-0.2237,Trend is Falling,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),Ages 50-64,2001,4.5939,4.3949,4.7995,2009-2014,-2.7087,-4.5885,-0.7918,Trend is Falling,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),Ages 50-64,2002,4.3829,4.1924,4.5797,2014-2016,-10.5083,-16.3834,-4.2204,Trend is Falling,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),Ages 50-64,2003,4.618,4.4263,4.8159,,,,,,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),Ages 50-64,2004,4.4699,4.2848,4.6609,,,,,,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),Ages 50-64,2005,4.4563,4.2747,4.6436,,,,,,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),Ages 50-64,2006,4.3494,4.1732,4.5312,,,,,,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),Ages 50-64,2007,4.3859,4.2123,4.5648,,,,,,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),Ages 50-64,2008,4.1806,4.0137,4.3526,,,,,,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),Ages 50-64,2009,4.387,4.2186,4.5605,,,,,,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),Ages 50-64,2010,4.2451,4.0821,4.413,,,,,,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),Ages 50-64,2011,3.9723,3.8168,4.1326,,,,,,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),Ages 50-64,2012,3.9827,3.8276,4.1425,,,,,,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),Ages 50-64,2013,3.7794,3.6293,3.9342,,,,,,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),Ages 50-64,2014,3.7956,3.6459,3.9499,,,,,,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),Ages 50-64,2015,3.3216,3.1826,3.4651,,,,,,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),Ages 50-64,2016,3.0045,2.8723,3.1413,,,,,,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),Ages 65+,2000,11.598,11.2442,11.9602,2000-2009,1.8868,1.3884,2.3878,Trend is Rising,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),Ages 65+,2001,11.7545,11.3996,12.1176,2009-2014,-0.2575,-1.7678,1.2761,Stable,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),Ages 65+,2002,11.7461,11.3927,12.1076,2014-2016,-7.6289,-12.0239,-3.0143,Trend is Falling,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),Ages 65+,2003,11.9464,11.5917,12.3092,,,,,,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),Ages 65+,2004,12.3295,11.9708,12.6963,,,,,,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),Ages 65+,2005,13.011,12.6445,13.3854,,,,,,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),Ages 65+,2006,13.0586,12.6943,13.4307,,,,,,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),Ages 65+,2007,12.8033,12.4451,13.1692,,,,,,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),Ages 65+,2008,13.2287,12.8677,13.5971,,,,,,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),Ages 65+,2009,13.6054,13.2424,13.9758,,,,,,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),Ages 65+,2010,13.5714,13.2118,13.9383,,,,,,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),Ages 65+,2011,13.6287,13.2712,13.9932,,,,,,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),Ages 65+,2012,13.4966,13.1467,13.8534,,,,,,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),Ages 65+,2013,13.5883,13.2414,13.942,,,,,,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),Ages 65+,2014,13.1812,12.8448,13.5243,,,,,,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),Ages 65+,2015,12.5943,12.2695,12.9256,,,,,,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),Ages 65+,2016,11.3588,11.0547,11.6691,,,,,,Melanoma of the Skin
Both Sexes,All Races (includes Hispanic),Ages <15,2000,-,-,-,2000-2016,-,-,-,-,Melanoma of the Skin
