Sex,Race/Ethnicity,Age,Rate Type,Year,"Age-adjusted (AA) Rate per 100,000",AA Rate Lower Confidence Interval,AA Rate Upper Confidence Interval,Trend Year Range,Annual Percent Change (APC) (%),APC Lower Confidence Interval (%),APC Upper Confidence Interval (%),Trend Direction
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2000,489.4397,488.0715,490.8108,2000-2004,-0.9573,-1.7934,-0.1142,Trend is Falling
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2001,490.3531,488.9932,491.7157,2004-2007,0.7215,-1.903,3.4162,Stable
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2002,487.7399,486.3942,489.0884,2007-2016,-1.2739,-1.5028,-1.0444,Trend is Falling
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2003,475.2225,473.9042,476.5435,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2004,476.4208,475.1091,477.7352,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2005,474.5829,473.2689,475.8996,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2006,479.1111,477.8113,480.4135,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2007,484.1317,482.8358,485.4303,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2008,480.0266,478.7473,481.3085,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2009,476.5023,475.2383,477.7689,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2010,463.3608,462.1246,464.5996,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2011,462.5694,461.3446,463.7968,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2012,450.32,449.1233,451.5191,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2013,446.3352,445.1556,447.5171,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2014,442.7092,441.5455,443.8752,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2015,441.9411,440.7884,443.0961,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,Observed Rates,2016,429.8537,428.7261,430.9836,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,Delay-adjusted Rates,2000,489.4397,488.0715,490.8108,2000-2004,-0.9415,-1.8636,-0.0107,Trend is Falling
