Sex,Race/Ethnicity,Age,Year,"Age-adjusted (AA) Rate per 100,000",AA Rate Lower Confidence Interval,AA Rate Upper Confidence Interval,Trend Year Range,Annual Percent Change (APC) (%),APC Lower Confidence Interval (%),APC Upper Confidence Interval (%),Trend Direction
Both Sexes,All Races (includes Hispanic),All Ages,2000,198.7863,198.2627,199.3109,2000-2016,-1.5159,-1.5417,-1.4901,Trend is Falling
Both Sexes,All Races (includes Hispanic),All Ages,2001,196.2889,195.7721,196.8067,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,2002,194.3559,193.8456,194.8673,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,2003,190.888,190.3862,191.3907,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,2004,186.841,186.3481,187.335,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,2005,185.2295,184.7426,185.7174,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,2006,182.0292,181.5504,182.509,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,2007,179.2593,178.7884,179.7312,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,2008,176.3174,175.8546,176.7812,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,2009,173.3954,172.9403,173.8515,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,2010,171.7431,171.2943,172.1929,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,2011,168.7417,168.3008,169.1835,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,2012,166.3326,165.8997,166.7663,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,2013,163.1805,162.7565,163.6054,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,2014,161.2734,160.8564,161.6913,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,2015,158.7013,158.2919,159.1115,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,2016,155.8687,155.4669,156.2713,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,2000,20.9466,20.7478,21.1468,2000-2016,-2.0065,-2.0884,-1.9245,Trend is Falling
Both Sexes,All Races (includes Hispanic),Ages < 50,2001,20.9308,20.7333,21.1297,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,2002,20.5023,20.3078,20.6982,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,2003,20.0877,19.8958,20.281,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,2004,19.3691,19.1812,19.5585,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,2005,19.293,19.1058,19.4816,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,2006,18.7529,18.5685,18.9388,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,2007,18.2378,18.0556,18.4214,,,,,
