Sex,Race/Ethnicity,Age,Year,Survival Time,5-Year Relative Survival Rate (Percent Survivng),5-Year Relative Survival Rate Lower Confidence Interval,5-Year Relative Survival Rate Upper Confidence Interval,Trend Year Range,Annual Percent Change (APC) (%),APC Lower Confidence Interval (%),APC Upper Confidence Interval (%),Trend Direction
Both Sexes,All Races (includes Hispanic),All Ages,1 year,2000,77.7698,77.6094,77.9293,2000-2004,0.1815,0.0359,0.327,Trend is Rising
Both Sexes,All Races (includes Hispanic),All Ages,1 year,2001,78.1998,78.042,78.3566,2004-2007,0.4985,0.3453,0.6518,Trend is Rising
Both Sexes,All Races (includes Hispanic),All Ages,1 year,2002,78.5229,78.3664,78.6783,2007-2015,0.0457,-0.0143,0.1056,Stable
Both Sexes,All Races (includes Hispanic),All Ages,1 year,2003,78.2767,78.1187,78.4338,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,1 year,2004,78.8625,78.7073,79.0166,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,1 year,2005,79.0804,78.9242,79.2356,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,1 year,2006,79.6588,79.5078,79.8088,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,1 year,2007,80.1956,80.0482,80.342,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,1 year,2008,80.4214,80.2753,80.5666,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,1 year,2009,80.7581,80.6139,80.9014,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,1 year,2010,80.7127,80.5681,80.8564,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,1 year,2011,81.3008,81.1584,81.4423,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,1 year,2012,80.8003,80.6561,80.9435,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,1 year,2013,80.7712,80.6268,80.9146,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,1 year,2014,80.8723,80.7286,81.0151,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,1 year,2015,81.1067,80.9641,81.2483,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,1 year,2016,-,-,-,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,3 years,2000,67.7816,67.5903,67.9721,2000-2004,0.2481,0.0487,0.4475,Trend is Rising
Both Sexes,All Races (includes Hispanic),All Ages,3 years,2001,68.4168,68.2285,68.6043,2004-2007,0.6871,0.4768,0.8974,Trend is Rising
Both Sexes,All Races (includes Hispanic),All Ages,3 years,2002,68.9757,68.789,69.1617,2007-2015,0.0634,-0.0198,0.1465,Stable
Both Sexes,All Races (includes Hispanic),All Ages,3 years,2003,68.5125,68.3244,68.6998,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,3 years,2004,69.0797,68.8943,69.2643,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,3 years,2005,69.4969,69.3102,69.6827,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,3 years,2006,70.329,70.1481,70.509,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,3 years,2007,71.0817,70.9047,71.2579,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,3 years,2008,70.9784,70.8023,71.1537,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,3 years,2009,71.4134,71.2392,71.5867,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,3 years,2010,71.386,71.2114,71.5597,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,3 years,2011,71.8463,71.6731,72.0186,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,3 years,2012,71.0386,70.8636,71.2127,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,3 years,2013,70.8194,70.6432,70.9948,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,3 years,2014,-,-,-,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,3 years,2015,-,-,-,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,3 years,2016,-,-,-,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,5 years,2000,63.8648,63.6566,64.0721,2000-2004,0.2704,0.0529,0.488,Trend is Rising
Both Sexes,All Races (includes Hispanic),All Ages,5 years,2001,64.6985,64.4937,64.9025,2004-2007,0.7515,0.5219,0.9811,Trend is Rising
Both Sexes,All Races (includes Hispanic),All Ages,5 years,2002,65.2004,64.9971,65.4028,2007-2015,0.0695,-0.0217,0.1607,Stable
Both Sexes,All Races (includes Hispanic),All Ages,5 years,2003,64.7238,64.5195,64.9273,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,5 years,2004,65.286,65.0846,65.4866,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,5 years,2005,65.7295,65.5267,65.9314,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,5 years,2006,66.6058,66.4088,66.8019,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,5 years,2007,67.4213,67.2282,67.6135,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,5 years,2008,67.1572,66.9652,67.3483,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,5 years,2009,67.7167,67.5268,67.9058,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,5 years,2010,67.4448,67.254,67.6347,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,5 years,2011,67.8598,67.6697,68.0491,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,5 years,2012,-,-,-,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,5 years,2013,-,-,-,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,5 years,2014,-,-,-,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,5 years,2015,-,-,-,,,,,
Both Sexes,All Races (includes Hispanic),All Ages,5 years,2016,-,-,-,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,1 year,2000,88.4918,88.2086,88.7688,2000-2015,0.2317,0.207,0.2563,Trend is Rising
Both Sexes,All Races (includes Hispanic),Ages < 50,1 year,2001,88.7009,88.423,88.9725,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,1 year,2002,88.8646,88.5882,89.1348,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,1 year,2003,89.2402,88.968,89.5061,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,1 year,2004,89.7432,89.4797,90.0005,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,1 year,2005,89.8307,89.5664,90.0887,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,1 year,2006,90.3246,90.068,90.5749,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,1 year,2007,90.7603,90.5099,91.0045,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,1 year,2008,91.152,90.9074,91.3902,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,1 year,2009,91.2604,91.0177,91.4969,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,1 year,2010,91.4728,91.2287,91.7104,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,1 year,2011,92.0727,91.8371,92.3019,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,1 year,2012,92.1674,91.932,92.3963,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,1 year,2013,92.3195,92.0826,92.5496,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,1 year,2014,92.5033,92.2692,92.7305,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,1 year,2015,92.6736,92.4404,92.8999,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,1 year,2016,-,-,-,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,3 years,2000,79.1555,78.7935,79.5123,2000-2015,0.4134,0.37,0.4568,Trend is Rising
Both Sexes,All Races (includes Hispanic),Ages < 50,3 years,2001,79.6359,79.2809,79.9857,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,3 years,2002,80.0467,79.6938,80.3944,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,3 years,2003,80.587,80.2379,80.9307,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,3 years,2004,81.2103,80.8694,81.546,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,3 years,2005,81.5653,81.2244,81.9008,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,3 years,2006,82.3502,82.0173,82.6775,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,3 years,2007,82.7314,82.4026,83.0548,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,3 years,2008,83.35,83.0272,83.6673,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,3 years,2009,83.6144,83.2941,83.9292,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,3 years,2010,83.7297,83.4045,84.0492,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,3 years,2011,84.0297,83.7075,84.3461,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,3 years,2012,84.3682,84.0461,84.6843,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,3 years,2013,84.6192,84.2922,84.94,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,3 years,2014,-,-,-,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,3 years,2015,-,-,-,,,,,
Both Sexes,All Races (includes Hispanic),Ages < 50,3 years,2016,-,-,-,,,,,
