Sex,Race/Ethnicity,Age,Stage at Diagnosis,Survival Time,Survival Rate (%),Survival Rate Standard Error,Survival Rate Lower Confidence Interval,Survival Rate Upper Confidence Interval
Both Sexes,All Races (includes Hispanic),All Ages,All Stages,Diagnosis,100,-,-,-
Both Sexes,All Races (includes Hispanic),All Ages,All Stages,1 year,79.6705,0.019,79.6333,79.7076
Both Sexes,All Races (includes Hispanic),All Ages,All Stages,2 years,73.409,0.0215,73.3668,73.4512
Both Sexes,All Races (includes Hispanic),All Ages,All Stages,3 years,70.0272,0.0232,69.9817,70.0726
Both Sexes,All Races (includes Hispanic),All Ages,All Stages,4 years,67.8234,0.0246,67.7752,67.8716
Both Sexes,All Races (includes Hispanic),All Ages,All Stages,5 years,66.1809,0.0259,66.13,66.2317
Both Sexes,All Races (includes Hispanic),All Ages,All Stages,6 years,64.8678,0.0273,64.8142,64.9213
Both Sexes,All Races (includes Hispanic),All Ages,All Stages,7 years,63.7567,0.0288,63.7002,63.8132
Both Sexes,All Races (includes Hispanic),All Ages,All Stages,8 years,62.798,0.0304,62.7383,62.8576
Both Sexes,All Races (includes Hispanic),All Ages,All Stages,9 years,61.9375,0.0323,61.8742,62.0007
Both Sexes,All Races (includes Hispanic),All Ages,All Stages,10 years,61.135,0.0344,61.0676,61.2023
Both Sexes,All Races (includes Hispanic),Ages < 50,All Stages,Diagnosis,100,-,-,-
Both Sexes,All Races (includes Hispanic),Ages < 50,All Stages,1 year,90.717,0.032,90.6541,90.7795
Both Sexes,All Races (includes Hispanic),Ages < 50,All Stages,2 years,85.5562,0.0393,85.4791,85.6329
Both Sexes,All Races (includes Hispanic),Ages < 50,All Stages,3 years,82.4943,0.0431,82.4097,82.5786
Both Sexes,All Races (includes Hispanic),Ages < 50,All Stages,4 years,80.4163,0.0457,80.3265,80.5056
Both Sexes,All Races (includes Hispanic),Ages < 50,All Stages,5 years,78.866,0.0478,78.7722,78.9594
Both Sexes,All Races (includes Hispanic),Ages < 50,All Stages,6 years,77.615,0.0496,77.5175,77.7121
Both Sexes,All Races (includes Hispanic),Ages < 50,All Stages,7 years,76.5798,0.0514,76.4789,76.6803
Both Sexes,All Races (includes Hispanic),Ages < 50,All Stages,8 years,75.664,0.0532,75.5596,75.768
Both Sexes,All Races (includes Hispanic),Ages < 50,All Stages,9 years,74.8344,0.055,74.7264,74.9421
Both Sexes,All Races (includes Hispanic),Ages < 50,All Stages,10 years,74.1301,0.057,74.0182,74.2415
Both Sexes,All Races (includes Hispanic),Ages 50-64,All Stages,Diagnosis,100,-,-,-
Both Sexes,All Races (includes Hispanic),Ages 50-64,All Stages,1 year,83.9994,0.0289,83.9427,84.056
Both Sexes,All Races (includes Hispanic),Ages 50-64,All Stages,2 years,77.6251,0.0335,77.5593,77.6906
Both Sexes,All Races (includes Hispanic),Ages 50-64,All Stages,3 years,74.1807,0.036,74.1101,74.2512
Both Sexes,All Races (includes Hispanic),Ages 50-64,All Stages,4 years,71.9298,0.0379,71.8554,72.004
Both Sexes,All Races (includes Hispanic),Ages 50-64,All Stages,5 years,70.2426,0.0396,70.1649,70.3201
Both Sexes,All Races (includes Hispanic),Ages 50-64,All Stages,6 years,68.9286,0.0413,68.8477,69.0094
Both Sexes,All Races (includes Hispanic),Ages 50-64,All Stages,7 years,67.8465,0.043,67.7622,67.9307
Both Sexes,All Races (includes Hispanic),Ages 50-64,All Stages,8 years,66.9203,0.0449,66.8322,67.0082
Both Sexes,All Races (includes Hispanic),Ages 50-64,All Stages,9 years,66.1011,0.047,66.0088,66.1931
Both Sexes,All Races (includes Hispanic),Ages 50-64,All Stages,10 years,65.3333,0.0495,65.2362,65.4302
Both Sexes,All Races (includes Hispanic),Ages 65+,All Stages,Diagnosis,100,-,-,-
Both Sexes,All Races (includes Hispanic),Ages 65+,All Stages,1 year,72.9434,0.0303,72.8839,73.0027
Both Sexes,All Races (includes Hispanic),Ages 65+,All Stages,2 years,66.353,0.0339,66.2865,66.4195
Both Sexes,All Races (includes Hispanic),Ages 65+,All Stages,3 years,62.8752,0.0367,62.8033,62.947
Both Sexes,All Races (includes Hispanic),Ages 65+,All Stages,4 years,60.6328,0.0393,60.5558,60.7097
Both Sexes,All Races (includes Hispanic),Ages 65+,All Stages,5 years,58.9603,0.042,58.878,59.0425
Both Sexes,All Races (includes Hispanic),Ages 65+,All Stages,6 years,57.5916,0.045,57.5035,57.6797
Both Sexes,All Races (includes Hispanic),Ages 65+,All Stages,7 years,56.3889,0.0483,56.2942,56.4835
Both Sexes,All Races (includes Hispanic),Ages 65+,All Stages,8 years,55.346,0.0521,55.2438,55.4481
Both Sexes,All Races (includes Hispanic),Ages 65+,All Stages,9 years,54.3937,0.0565,54.2828,54.5044
Both Sexes,All Races (includes Hispanic),Ages 65+,All Stages,10 years,53.4614,0.0617,53.3403,53.5824
Both Sexes,All Races (includes Hispanic),Ages <15,All Stages,Diagnosis,100,-,-,-
Both Sexes,All Races (includes Hispanic),Ages <15,All Stages,1 year,92.4596,0.1278,92.205,92.7062
Both Sexes,All Races (includes Hispanic),Ages <15,All Stages,2 years,87.5052,0.1617,87.1846,87.8184
Both Sexes,All Races (includes Hispanic),Ages <15,All Stages,3 years,84.9555,0.1767,84.6054,85.2983
Both Sexes,All Races (includes Hispanic),Ages <15,All Stages,4 years,83.403,0.1859,83.035,83.7637
Both Sexes,All Races (includes Hispanic),Ages <15,All Stages,5 years,82.2446,0.193,81.8628,82.6194
